item_id	frozen_source	locator	reviewer	coverage	dependencies	disposition	notes
OLD-451	f41797c91497dc462f549a127d8494bbe4ccde2f	PR451	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f41797c91497dc462f549a127d8494bbe4ccde2f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-452	0de0709a03771f77ccf1c272535b79f86675184f	PR452	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0de0709a03771f77ccf1c272535b79f86675184f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-453	a9cecbd3228bc26d4d0c3375c9694ee1e836f66a	PR453	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=a9cecbd3228bc26d4d0c3375c9694ee1e836f66a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-454	a0409d54250bc211d62718a1aedb6fa020d7f091	PR454	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=a0409d54250bc211d62718a1aedb6fa020d7f091; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-455	1b502acbe511776178da3dc916e3cd3464cd5e77	PR455	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1b502acbe511776178da3dc916e3cd3464cd5e77; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-456	a72c1a0505b3bd79f99ad5ec207c39dd052c45a6	PR456	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=a72c1a0505b3bd79f99ad5ec207c39dd052c45a6; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-457	e136fcf42fbab1195fc193e64ce4039d1a1d416c	PR457	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e136fcf42fbab1195fc193e64ce4039d1a1d416c; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-458	c8cd1e53e7ad96d3c43f213813e0ae0688341015	PR458	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=c8cd1e53e7ad96d3c43f213813e0ae0688341015; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-459	57ddff8e164030323e93892180c6559f3da951b2	PR459	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=57ddff8e164030323e93892180c6559f3da951b2; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-460	db9a767e312d9928f5ef827762dcb4ef95494af0	PR460	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=db9a767e312d9928f5ef827762dcb4ef95494af0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-461	ea633d416609565b3926f37c9302c93e1b818e2d	PR461	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ea633d416609565b3926f37c9302c93e1b818e2d; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-462	8642e062b6c6f5a4c7d443a1ee5a6e9ecf3e4706	PR462	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=8642e062b6c6f5a4c7d443a1ee5a6e9ecf3e4706; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-463	9e138832258d19c252fe60597e36d02bfb95fe39	PR463	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9e138832258d19c252fe60597e36d02bfb95fe39; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-464	2eb70463f3d0ae791a9f140694d2ace7032ae864	PR464	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=2eb70463f3d0ae791a9f140694d2ace7032ae864; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-465	595ba063a3147faefa3c358db32bbc5937bceb76	PR465	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=595ba063a3147faefa3c358db32bbc5937bceb76; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-466	1fdac6bdc81edbc288d3a29503d53f1d0cffc76b	PR466	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1fdac6bdc81edbc288d3a29503d53f1d0cffc76b; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-467	d5e03a3a63bd05b43abf4b5e37905f86e9ec59d6	PR467	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d5e03a3a63bd05b43abf4b5e37905f86e9ec59d6; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-468	9e2ae6d26a7920055e1f11327dc0ddeb7b855c61	PR468	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9e2ae6d26a7920055e1f11327dc0ddeb7b855c61; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-469	3cf685181bd367b92cdcfeef9249e0b9b542a09e	PR469	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3cf685181bd367b92cdcfeef9249e0b9b542a09e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	PR470	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=89af3206ea1894884613e1188b5ab9a6a4cd74f0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-471	4ac821701177edb67a77fe43e89cc2a7a53af68a	PR471	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=4ac821701177edb67a77fe43e89cc2a7a53af68a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-472	bb364396e09717237351d4aed9aadf6c570cb7fc	PR472	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=bb364396e09717237351d4aed9aadf6c570cb7fc; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-473	71d6a859ea741fe035de709e8d10ed37301b778e	PR473	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=71d6a859ea741fe035de709e8d10ed37301b778e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-474	da557977e6d496cdc395c823e0c8c2aa830ee3e1	PR474	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=da557977e6d496cdc395c823e0c8c2aa830ee3e1; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-475	6cba90ea10163abd62b051c83c8bfd8cc2f901da	PR475	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6cba90ea10163abd62b051c83c8bfd8cc2f901da; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-476	9f16ce483954d4233b68ee09cb6bec47400aa3cc	PR476	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9f16ce483954d4233b68ee09cb6bec47400aa3cc; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-477	5acd9007b4f4bb1792466f5013c39bf4eac33f9e	PR477	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=5acd9007b4f4bb1792466f5013c39bf4eac33f9e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-478	9d19a7a6ff132fa5a39347392cbeadf09c14a261	PR478	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9d19a7a6ff132fa5a39347392cbeadf09c14a261; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-479	518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	PR479	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-480	d6d9c051abb20a47f3ce7adb45de33bfc2b933b9	PR480	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d6d9c051abb20a47f3ce7adb45de33bfc2b933b9; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-481	005ae49723898d8661d407a0433a6d69cb6d6efc	PR481	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=005ae49723898d8661d407a0433a6d69cb6d6efc; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-482	b8428601ad0f046442558b677e5b3ed3139e7527	PR482	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b8428601ad0f046442558b677e5b3ed3139e7527; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-483	87bd7ad2127f98b6141b4c03355556f2b95f6404	PR483	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=87bd7ad2127f98b6141b4c03355556f2b95f6404; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-484	aadf3541f9959e27a5e0eea890a13a8eb0467b01	PR484	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=aadf3541f9959e27a5e0eea890a13a8eb0467b01; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-485	116d0ffb42602d5711abdba15aeb3ba9de076984	PR485	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=116d0ffb42602d5711abdba15aeb3ba9de076984; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-486	0d8badeda73626598a74dc3ef009b67a74af3b81	PR486	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0d8badeda73626598a74dc3ef009b67a74af3b81; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-487	39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	PR487	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-488	9acd381fa168db02a03646ab16851daebbf4d0fd	PR488	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9acd381fa168db02a03646ab16851daebbf4d0fd; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-489	0bb487c8a0782f601be0a3041743b357ad93726a	PR489	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0bb487c8a0782f601be0a3041743b357ad93726a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-490	6f46c2cf4e84d51c744263f7e92a0e1743de5148	PR490	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6f46c2cf4e84d51c744263f7e92a0e1743de5148; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-491	f5fb88c80f56e0b4e221c90f6362cf20413db02f	PR491	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f5fb88c80f56e0b4e221c90f6362cf20413db02f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-492	9be030febf71135efbbb8a997f6cee2335ed719a	PR492	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9be030febf71135efbbb8a997f6cee2335ed719a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-493	37f14be7c8bd16b3096baf08f6ba2cbc550797ac	PR493	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=37f14be7c8bd16b3096baf08f6ba2cbc550797ac; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-494	1468ff62c7377f3f6cc1744ef6eafc3df3172d5c	PR494	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1468ff62c7377f3f6cc1744ef6eafc3df3172d5c; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-495	50f45b46cbe3c471d6e702c41c7ef178b530e1ab	PR495	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=50f45b46cbe3c471d6e702c41c7ef178b530e1ab; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-496	96f8a6b3cc3d474217633e16d4caa490a0aae518	PR496	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=96f8a6b3cc3d474217633e16d4caa490a0aae518; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-497	bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74	PR497	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-498	6cc0da2fa5711017e260ebdcea4ba8c22e453288	PR498	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6cc0da2fa5711017e260ebdcea4ba8c22e453288; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-499	99d3983b57f82941131caa8d9c36e4947f1179a0	PR499	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=99d3983b57f82941131caa8d9c36e4947f1179a0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-500	d73c1e7a1a482cac31581211a84db43cc34c824e	PR500	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=d73c1e7a1a482cac31581211a84db43cc34c824e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-501	ab5bd0ffc7a8092d62e879431dbd9f295f79f072	PR501	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ab5bd0ffc7a8092d62e879431dbd9f295f79f072; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-502	db45b778d8c26e03ef1ad6b6f48959638be28b7c	PR502	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=db45b778d8c26e03ef1ad6b6f48959638be28b7c; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-503	db77e5792966edf080604fd4b69fb00f07739681	PR503	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=db77e5792966edf080604fd4b69fb00f07739681; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-504	fe1a3c94379c3d159efa05ea216d12643e63be16	PR504	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=fe1a3c94379c3d159efa05ea216d12643e63be16; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-505	1113fe6d55e955a8d9de7b43ceb24f5792870550	PR505	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1113fe6d55e955a8d9de7b43ceb24f5792870550; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-506	3d44cf10f8b5f36fd06a57a745550a25142e3658	PR506	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3d44cf10f8b5f36fd06a57a745550a25142e3658; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-507	dfaa70cd2eefcabbf6717e3da060792904c7f357	PR507	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=dfaa70cd2eefcabbf6717e3da060792904c7f357; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-508	4ae97dffd1f76ed3244b8f3028560ffa80663caf	PR508	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=4ae97dffd1f76ed3244b8f3028560ffa80663caf; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-509	e01daee9cdfea35d2a7d2591f1df6c8080084119	PR509	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e01daee9cdfea35d2a7d2591f1df6c8080084119; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-510	b596b1abae9213366aab4cf3f2c911ff8cfab725	PR510	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b596b1abae9213366aab4cf3f2c911ff8cfab725; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-511	6ece82279cb03474ebc79914db572f6ff095d238	PR511	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6ece82279cb03474ebc79914db572f6ff095d238; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-512	625a9273696a1f017f32d37bf9052423ee8590c7	PR512	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=625a9273696a1f017f32d37bf9052423ee8590c7; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-513	4275fe97aa5ba885210abb6296c7048386e5909d	PR513	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=4275fe97aa5ba885210abb6296c7048386e5909d; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-514	944dabba065271f08f3cade0215292dcfbab590f	PR514	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=944dabba065271f08f3cade0215292dcfbab590f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-515	6728689d1dbae1891793aabbc393b25e0a7bbaba	PR515	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6728689d1dbae1891793aabbc393b25e0a7bbaba; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-516	2492bd48f8e2bafacfc04fc9237c06219b8c9bf8	PR516	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=2492bd48f8e2bafacfc04fc9237c06219b8c9bf8; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-517	f097193037352253cc37e13bca41252233e805fd	PR517	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f097193037352253cc37e13bca41252233e805fd; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	PR518	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3277b831b30f4783ed3b087df57e95b9f7dfd7b0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-519	fb15b598734546230aa51a16dda28488d214729f	PR519	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=fb15b598734546230aa51a16dda28488d214729f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-520	41db5f783c751e66c786f18fa7fbd6d9bf229a8d	PR520	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=41db5f783c751e66c786f18fa7fbd6d9bf229a8d; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	PR521	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b4a60a54b1d730a73ab1eb6bb571485dd40438d0; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-522	3e8949af3e23b8563bfbc0cf8846820cc6c66d76	PR522	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=3e8949af3e23b8563bfbc0cf8846820cc6c66d76; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-523	f2e2e96c48285f59a8df807ba49122778cb10ff4	PR523	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f2e2e96c48285f59a8df807ba49122778cb10ff4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-524	079a80308a218e924d86030c4df40410df960592	PR524	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=079a80308a218e924d86030c4df40410df960592; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-525	18888e91786e438eac9bbcdc1a65b16a7e0479fa	PR525	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=18888e91786e438eac9bbcdc1a65b16a7e0479fa; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-526	1257867fd9667b7470dd5a5bf591b04437dd44ec	PR526	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=1257867fd9667b7470dd5a5bf591b04437dd44ec; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-527	687587b98071879e7f8034f66b5d95b3b76b016a	PR527	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=687587b98071879e7f8034f66b5d95b3b76b016a; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-528	f39f5f506dae475f8ed857f69d3469bf36ba7786	PR528	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=f39f5f506dae475f8ed857f69d3469bf36ba7786; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-529	ada020d303468f592ad1c18221c2d227ae2364ec	PR529	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ada020d303468f592ad1c18221c2d227ae2364ec; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-530	6c818a35094b978863a08bde4227d1f4ad9b65d4	PR530	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=6c818a35094b978863a08bde4227d1f4ad9b65d4; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-531	e1b3b03d97d47c5046aa84f31e51c925d92baabd	PR531	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=e1b3b03d97d47c5046aa84f31e51c925d92baabd; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-532	0d8e480a7f005b9db292d0eb477e6ddec0c8931e	PR532	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0d8e480a7f005b9db292d0eb477e6ddec0c8931e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-533	624db1e68f0197a002a542ffa37375dc7b26e197	PR533	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=624db1e68f0197a002a542ffa37375dc7b26e197; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-534	ef18bdda5a65334695008e4c1f5986833160d84f	PR534	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ef18bdda5a65334695008e4c1f5986833160d84f; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-535	988e9bfa55e7ed13c0ddbcab2f6138a83fd4f743	PR535	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=988e9bfa55e7ed13c0ddbcab2f6138a83fd4f743; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-536	b0ccb4decf5329e041a3a516f4b990a55a73c50e	PR536	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b0ccb4decf5329e041a3a516f4b990a55a73c50e; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-537	2c2d4dd834ee61c54a6f8bdd7ba204a01896d593	PR537	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=2c2d4dd834ee61c54a6f8bdd7ba204a01896d593; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
