semantic_id	family	final_verdict	integration_action	destination	required_fix	source_pr	source_head_sha	source_path	priority	notes
OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	suzuki_hardy	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/suzuki_hardy/	Pin the primary source and distinguish amplitude isometry from curvature sign.	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91035-suzuki-hankel-is-the-explicit-completed-jordan-scattering-isometry.md	P1	CANONICALIZE_AFTER_SOURCE_LOCK
API.SUZUKI.FOCK_FIRST_CHAOS	suzuki_hardy	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/suzuki_hardy/	State all-intensity naturality, orthogonal/Wiener-Itô grading, and exact source-linearity; do not apply to an arbitrary r=1 factorization.	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91036-any-source-linear-poisson-colligation-reduces-to-first-chaos.md	P1	CANONICALIZE_AS_CONDITIONAL_API
OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	suzuki_hardy	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/theorems/T-91008-corrected-delayed-first-chaos-tangent-intertwiner.md	OPEN	REGISTER_OPEN_EQUIVALENCE
OPERATOR.PRIME_JULIA_ABSORPTION	suzuki_hardy	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/suzuki_hardy/	Correct the printed rational margin and preserve source normalization.	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/theorems/T-91501-prime-julia-reserve-absorbs-the-fixed-scale-oscillatory-long-jump-channel.md	P1	CANONICALIZE_WITH_FIXES
REFUTATION.HEAT.UNIFORM_CENTER	heat_hermite	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	P1	CANONICAL_REFUTATION
OPEN.HEAT.FIXED_CENTER_PHASE	heat_hermite	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	OPEN	REGISTER_OPEN_CUT
HEAT.HERMITE.COUNTABLE_CRITERION	heat_hermite	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/heat_hermite/	State normal convergence, terminal-pair completeness, and explicit-formula hypotheses; do not inherit upstream Lean status.	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	P1	CANONICALIZE_WITH_FIXES
HEAT.HERMITE.UNCONDITIONAL_REGIONS	heat_hermite	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/heat_hermite/	State epsilon dependence, effective-threshold scope, and normalization.	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	P1	CANONICALIZE_WITH_FIXES
OPEN.HEAT.HERMITE_CONSTANT_FOUR	heat_hermite	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	OPEN	REGISTER_OPEN_EQUIVALENCE
Q4.HEAT.PHASE_LOCKED_SUBLINEAR	heat_hermite	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/heat_hermite/	Retain the repaired tail envelope and keep fixed/sublinear order distinct from uniform-center or all-order positivity.	520	41db5f783c751e66c786f18fa7fbd6d9bf229a8d	claims/lemmas/L-94050-q4-critical-adjoint-first-hermite-filter.md|claims/theorems/T-94051-all-sublinear-first-hermite-frontier.md	P1	CANONICALIZE_CONDITIONAL_RESULT
Q4.CARRY_FOURIER_CORE	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Use path-qualified semantic IDs because PR #383 reuses numerical claim IDs.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	P1	CANONICALIZE_WITH_FIXES
Q4.HAAR_FINE_SCALE	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Do not conflate with the distinct Brownian-bridge file sharing L-90416.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	P1	CANONICALIZE_WITH_FIXES
Q4.JORDAN_PERIODIZED	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Keep the periodized ensemble distinct from the actual fixed-endpoint measure.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	P1	CANONICALIZE_WITH_FIXES
Q4.FOURTEEN_ROW_RENEWAL	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Retain the u_1 term, column-one gauge, and factor-two spectral correction.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md|claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	P1	CANONICALIZE_WITH_FIXES
Q4.FOURIER_GOLDBACH	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Keep the source-specific low-frequency/Goldbach cancellation open and distinguish the exact norm-loss no-go.	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	P1	CANONICALIZE_WITH_FIXES
Q4.POSITIVE_DIVISOR_COMPILER	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Do not infer additive critical capacity from macroscopically large positive mass.	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md|claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	P1	CANONICALIZE_WITH_FIXES
Q4.ANNULAR.TYPE_I_II	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	Pin exact kernel certificate, boundary ownership, cutoffs, and distinguish compact log support from compact Fourier support.	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md|claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md|claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	P1	CANONICALIZE_WITH_FIXES
OPEN.Q4.SACF	q4	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	OPEN	REGISTER_OPEN_CUT
OPEN.Q4.UOSACF	q4	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	OPEN	REGISTER_OPEN_EQUIVALENCE
Q4.FILTER.EXHAUSTION	q4	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/q4/	State exact normalization, endpoint spaces, and inverse costs.	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	P1	CANONICALIZE_WITH_FIXES
Q4.FILTER.CRITICAL_ZERO_BARRIER	q4	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/q4/	State the finite-filter/inverse-cost class exactly.	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md|claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	P1	CANONICALIZE_RESULT_AND_REFUTATION
REFUTATION.BROWNIAN.COFINAL_STABILITY	brownian_weil	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	P1	CANONICAL_REFUTATION
METHODOLOGY.BROWNIAN.NEW_PRODUCER	brownian_weil	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Supply a quantified producer and implication theorem before adding a proof-graph node.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	P2	METHODOLOGY_ONLY
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	brownian_weil	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/GRAPH_REPORT.md	P1	CANONICAL_REFUTATION
OPEN.WEIL.CORRECTED_ARITHMETIC_FLOOR	brownian_weil	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_EQUIVALENCE
REFUTATION.FREDHOLM.FIXED_DEGREE_HIGH_CARRIER	brownian_weil	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md	Pin the exact PR #387 refutation path before theorem extraction.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/GRAPH_REPORT.md	P1	CANONICAL_REFUTATION_WITH_SOURCE_FIX
OPEN.FREDHOLM.ALL_ORDER_PRIME_SIGN	brownian_weil	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_EQUIVALENCE
FINITE.ROBIN.BARRIER	finite_certificates	RETAINED_HEAVY_CERTIFICATE	RETAIN_FINITE_COMPUTATION	COMPUTATIONS.md	Pin the canonical August certificate path/hash; do not infer a global implication.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/FINAL_COMPUTATIONS.tsv	P2	RESULTS_INDEX_FINITE
FINITE.PICK.BOXES	finite_certificates	RETAINED_HEAVY_CERTIFICATE	RETAIN_FINITE_COMPUTATION	COMPUTATIONS.md	Keep authenticated primitive rectangles and exact scope; no strict negative Riemann-data witness exists.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/FINAL_COMPUTATIONS.tsv	P2	RESULTS_INDEX_FINITE
OPEN.CONJ.REGIONAL_ROW	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.REGIONAL_COLUMN	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.QMT	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.AMT	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.SORR	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.RFCP	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.PERRON_CV_ROW	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
OPEN.CONJ.PERRON_XD_ROW	conjunctive	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
REVIEW.C.FINAL_COVERAGE	review_infrastructure	VERIFIED	EXTRACT_CANONICAL_PACKET	integration/2026-08-22/review-locks/		712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_REPORT.md|review/2026-08-22/coverage/PR_CENSUS.tsv|review/2026-08-22/coverage/ISSUE_CENSUS.tsv	P1	CANONICALIZE_REVIEW_LOCK
REVIEW.C.ISSUE_ARCHAEOLOGY	review_infrastructure	VERIFIED	EXTRACT_CANONICAL_PACKET	integration/2026-08-22/review-locks/		712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/ISSUE_CENSUS.tsv|review/2026-08-22/coverage/ISSUE_GENEALOGY.md	P1	CANONICALIZE_GENEALOGY_SUMMARY
REVIEW.B.DIRECT_MAIN_CENSUS	review_infrastructure	VERIFIED	EXTRACT_CANONICAL_PACKET	integration/2026-08-22/review-locks/		717	dad61b954dd8404520631058d1ce717e7a910a3b	review/2026-08-22/direct-main/COMMIT_PACKETS.tsv|review/2026-08-22/direct-main/REPORT.md	P1	CANONICALIZE_REVIEW_LOCK
ARITH.CARRY.FACTOR64_PAYMENT	carry_critical_hinge	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/carry_hinge/	Separate the finite monotone-payment theorem from the nonmonotone critical occupation.	381	8b32a5941a349df16bdce59909ad66741293cb0a	claims/lemmas/L-90701-factor64-reward-prefixes-pay-every-monotone-occupation.md|claims/refutations/R-90702-critical-uniform-pascal-occupation-is-not-monotone.md	P1	CANONICALIZE_WITH_FIXES
OPEN.ARITH.CARRY_WEIGHTED_RESPONSE	carry_critical_hinge	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		382	d5630815f68554649445cbe19989b562dc685bd3	claims/lemmas/L-90705-square-root-hinge-is-a-positive-mixture-of-signed-linear-hinge-responses.md	OPEN	REGISTER_OPEN_GATE
REFUTATION.CARRY.SOURCE_BLIND_CONVEXITY	carry_critical_hinge	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		382	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90701-naive-recursive-residual-monotonicity-fails.md|claims/refutations/R-90704-average-carry-inverse-does-not-preserve-the-full-convex-cone.md|claims/refutations/R-90705-truncated-geometric-atoms-do-not-have-positive-average-carry-inverses.md	P1	CANONICALIZE_REFUTATION
OPEN.ARITH.NATIVE_ENDPOINT_GAP	native_endpoint	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	OPEN	REGISTER_OPEN_GATE
OPEN.ARITH.FACTOR67_GPC_CPSL	factor67_lorenz	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	OPEN	REGISTER_OPEN_GATE
OPEN.ARITH.C4MBI_BOUNDARY	c4mbi	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	OPEN	REGISTER_OPEN_GATE
DIRECTMAIN.CJ.LOCAL_IDENTITIES	direct_main_cauchy_jordan	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/cauchy_jordan/	Pin domains, meromorphic exceptions, and one Fourier/Hardy orientation.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91014-generalized-jordan-cocycle-divisor-isometry.md|claims/lemmas/L-91019-positive-anchor-second-jet-anova-closure.md|claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md|claims/lemmas/L-91029-positive-jordan-channel-is-a-compound-poisson-prime-semigroup.md	P1	CANONICALIZE_WITH_FIXES
DIRECTMAIN.CJ.T91005	direct_main_cauchy_jordan	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md	Pin resident dependencies and conventions.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91005-normalized-sixteenfold-cauchy-recurrence-is-rh-equivalent.md	OPEN	REGISTER_OPEN_EQUIVALENCE
OPEN.DIRECTMAIN.CJHI	direct_main_cauchy_jordan	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md	Use PR #400 first-chaos/model-space formulation and preserve all cross terms.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91006-cauchy-jordan-hardy-intertwiner-full-rh-proposal.md	OPEN	ARCHIVE_WRAPPER_REGISTER_GATE
DIRECTMAIN.P79.SPLIT_IDENTITIES	direct_main_p79	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/p79/	Delete the false uniform surplus and positive typed-splice claims.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	P1	CANONICALIZE_LOCAL
DIRECTMAIN.P79.L91355	direct_main_p79	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/p79/	State packet-typing hypotheses explicitly.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	P1	CANONICALIZE_LOCAL
DIRECTMAIN.P79.L91350	direct_main_p79	FALSE	CANONICALIZE_REFUTATION	REFUTATIONS.md	Exclude the checker and use later causal replacements only at retained scope.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91350-p79-low-prefix-hall-corrected-cell-derivative-certificate.md	P1	EXCLUDE
DIRECTMAIN.P79.SCORE_SURPLUS	direct_main_p79	FALSE	CANONICALIZE_REFUTATION	REFUTATIONS.md	Retain only the exact score-minus-target identity.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	P1	EXCLUDE
DIRECTMAIN.P79.T91303	direct_main_p79	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Archive and retain only conditional scalar Hall-flow algebra.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91303-p79-target-flow-factor54-resolution-proposal.md	P2	ARCHIVE_FULL_PROPOSAL
DIRECTMAIN.P79.T91304	direct_main_p79	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Archive; retain exact split identities and refutations.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-91304-direct-euler-row-factor54-resolution-proposal.md	P2	ARCHIVE_FULL_PROPOSAL
DIRECTMAIN.MELLIN.L96000	direct_main_mellin	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/mellin/	Separate convergence, continuation, and producer positivity.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96000-fixed-row-mellin-transform-of-the-full-mobius-spline.md	P1	CANONICALIZE_CONSUMER
DIRECTMAIN.MELLIN.L96001	direct_main_mellin	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/mellin/	State the all-row producer quantifier; prefer fixed rows 2,3 or fixed 5:3 canonically.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-96001-the-row-kernels-cannot-cancel-an-open-strip-zero.md	P1	CANONICALIZE_OR_SUPERSEDE
OPEN.DIRECTMAIN.MELLIN.ALL_ROWS	direct_main_mellin	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md	Do not infer this from PR #537 FRONTIER-CHAIN.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md	OPEN	REGISTER_OPEN_GATE
DIRECTMAIN.MELLIN.T96000	direct_main_mellin	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Extract L-96000/L-96001 only.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md	P2	ARCHIVE_WRAPPER_EXTRACT_CONSUMER
DIRECTMAIN.TAYLOR.L99930	direct_main_taylor	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/taylor/	Keep activation-zero and ordinary SHARP objects distinct.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99930-activation-zero-supercritical-positivity.md	P1	CANONICALIZE_OR_MARK_SUBSUMED
DIRECTMAIN.TAYLOR.L99931	direct_main_taylor	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/taylor/	State absolute convergence and labelled-67 multiplicity.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99931-euler-taylor-positive-remainder-ladder.md	P1	CANONICALIZE_STANDALONE
DIRECTMAIN.TAYLOR.L99932_KERNEL	direct_main_taylor	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/direct_main/taylor/	Pin the reviewed Mellin–Landau hypotheses.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	P1	CANONICALIZE_CONSUMER
OPEN.DIRECTMAIN.TAYLOR_CRITICAL	direct_main_taylor	OPEN_RH_EQUIVALENT	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md	Keep it explicit as an open premise.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	OPEN	REGISTER_OPEN_EQUIVALENCE
DIRECTMAIN.TAYLOR.R99930	direct_main_taylor	REFUTED_MECHANISM	CANONICALIZE_REFUTATION	REFUTATIONS.md		MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/refutations/R-99930-supercritical-positivity-does-not-cross-the-critical-carrier.md	P1	CANONICALIZE_REFUTATION
DIRECTMAIN.TAYLOR.T99930	direct_main_taylor	CONDITIONAL_EXACT	REGISTER_CONDITIONAL_API	research/integrated/direct_main/taylor/	Split unconditional results from the open terminal estimate.	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	claims/theorems/T-99930-critical-taylor-renormalization-frontier.md	P1	CANONICALIZE_RESULTS_ARCHIVE_FRONTIER
