semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
RH	terminal	Riemann Hypothesis.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/INTEGRATION_READY.md	RH	A/B:UNPROVED	A×B:UNPROVED	C:UNPROVED	OPEN_RH_EQUIVALENT	global	terminal		No reviewed-only path reaches this terminal.	terminal			NOT_APPLICABLE	STATUS_ONLY	All five review objects agree RH remains unproved.
API.CONJUNCTIVE.MATCHED_TRANSFER	conjunctive	One common transfer gives an exact infimal negative-part decomposition.	704	66f755df4321a03874e0da3f61b033300173e364	claims/lemmas/L-101500-matched-transfer-negative-part.md	L-101500	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	pointwise/measurable common transfer	negative-part identity		Both transferred arithmetic estimates are open.	carrier-preserving API			NOT_APPLICABLE	CANONICALIZE	A separate transfer for each side would lose the common carrier.
API.CONJUNCTIVE.ROOT_EXCESS	conjunctive	Strict source-owned root return plus root-free packing controls detector negative mass.	706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104101-two-key-root-excess-absorption.md	L-104101	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	dyadic blocks with strict theta<1	scalar Schur absorption		Both root return and root-free packing are open.	conditional two-key API			NOT_APPLICABLE	CANONICALIZE	The strict root-return hypothesis prevents excess-only tautology.
REFUTATION.ROOT_EXCESS_ONLY	conjunctive	Positive excess alone does not control the unknown root in Q=|g|^2+E.	706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104100-root-containing-square-firewall.md	L-104100	A:VERIFIED_REFUTATION	B×A:AGREE	C:REPRESENTED	REFUTED_MECHANISM	all Hilbert triples	exact countermodel		Excess-only closure is false.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	This controls HTOC/DGOC-style shortcuts.
ARITH.STAIRCASE.VECTOR_REDUCTION	conjunctive	The survival-weighted mixed coboundary, one common carrier-free filter, and vector Vaughan identity reduce two channels to one balanced source packet.	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/lemmas/L-102100-survival-weighted-mixed-coboundary-and-staircase-telescope.md|claims/lemmas/L-102103-carrier-free-filter-for-the-quadratic-wavelet-bridge.md|claims/lemmas/L-102105-vector-vaughan-reduction.md	L-102100/L-102103/L-102105	A:VERIFIED_WITH_FIXES	B×A:AGREE	C:REPRESENTED	VERIFIED_WITH_FIXES	finite monotone staircases and identical cutoffs	operator/filter/decomposition theorem	Use the identical source, cutoff, and zero-safe compact filter in both coordinates.	The subcritical source-faithful matrix is open.	strong structural reduction			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The reduction is exact but does not prove the matrix estimate.
OPEN.ARITH.CFBB	conjunctive	A source-faithful subcritical 2x2 Perron matrix controls the carrier-free balanced vector packet.	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/theorems/T-102100-carrier-free-staircase-perron-frontier.md	CFBB102100	A:OPEN_SUFFICIENT	B×A:AGREE_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	global dyadic blocks	open arithmetic matrix estimate		OPEN.ARITH.CFBB	sufficient for RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	No local cone iteration substitutes for this matrix.
ARITH.PHASE.CUBIC_AMPLITUDE	conjunctive	Carrier-normalized phase homotopy, cubic B-spline autocorrelation, and half-divisor source square root close the source/phase amplitude layer.	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/lemmas/L-103300-critical-carrier-normalized-balanced-homotopy.md|claims/lemmas/L-103303-centered-cubic-bspline-autocorrelation.md|claims/lemmas/L-103304-half-divisor-field-is-source-square-root.md	L-103300/L-103303/L-103304	A:VERIFIED	B×A:AGREE	C:REPRESENTED	VERIFIED	finite labelled source and fixed compactifier	operator/kernel/arithmetic factorization		Physical integer-product occupancy remains open.	strong structural theorem			NOT_APPLICABLE	CANONICALIZE	Positive amplitude/Gram is not yet a physical observation estimate.
OPEN.ARITH.BPOE	conjunctive	Physical observation embeds the source/phase energy into one multiplicative shell at subpower cost.	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/theorems/T-103300-balanced-phase-amplitude-and-physical-occupancy-frontier.md	BPOE103300	A:OPEN_SUFFICIENT	B×A:AGREE_HIGHEST_PRIORITY_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	dyadic shell operators on one occurrence	open physical occupancy estimate		OPEN.ARITH.BPOE	sufficient through half-divisor energy to RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	This is distinct from positive source/phase Gram amplitude.
ARITH.CAUSAL_PACKET_BUDGET	historical_native_assets	Constant-mode first-hazard weights give an exact nonduplicating causal packet identity with total recursive child mass below 1/8.	439	706445c01d4a5c9f852a4faf1329bd9858dc727a	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	L-91355	A/B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite ordered-prime packet	source-accounting identity	Preserve literal physical packet typing; Hall does not commute automatically with the tree.	Native common-parent realization remains open.	standalone source-accounting theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C path-pinned the stale cross-review reference.
ARITH.FINITE_FARKAS	historical_native_assets	Atomwise root-ledger sufficiency and the finite rational primal/Farkas alternative.	454	a0409d54250bc211d62718a1aedb6fa020d7f091	claims/lemmas/L-91671-atomwise-provenance-partition-is-the-exact-native-root-ledger-certificate.md	L-91671	A/B:OMITTED_OR_PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local declared scope	finite reduction	State that the theorem is a sufficiency/fail-closed finite alternative, not feasibility of the live allocation.	Live source-labelled allocation coefficients remain unproved.	standalone finite reduction; no RH implication			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned the exact PR head/path and completed the targeted review.	Exact atomwise provenance partition and rational primal/Farkas alternative; feasibility remains open.
ARITH.Y4_REPAIR_CONE	historical_native_assets	The Y4-zero repair LP and triangular score-free transfer are exact response-space constructions.	470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	claims/lemmas/L-91687-y4-zero-columns-are-score-free-triangular-repair-directions.md	L-91687	A/B:OMITTED_OR_PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local declared scope	standalone separator	Preserve the response-space/source-ownership distinction and the possible new negative lower rows.	A full nonnegative source-owned repair with the atomwise provenance/port ledger is absent.	standalone response-space separator			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned the exact source object and reviewed its triangular repair scope.	Exact Y4-zero repair cone; response-space algebra alone does not establish native feasibility.
ARITH.Y4_RADIAL_NULL_GAUGE	historical_native_assets	A Y4-zero detail repair is invisible to the prime-radial dictionary.	472	bb364396e09717237351d4aed9aadf6c570cb7fc	claims/lemmas/L-19881-y4-zero-repair-is-a-null-gauge-for-the-prime-radial-dictionary.md	L-19881	A/B:OMITTED_OR_PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local declared scope	cross-family gauge	Keep dictionary invisibility separate from source-owned feasibility and model allocation.	The gauge does not construct the positive physical allocation.	standalone cross-family null-gauge theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass exactified the source head, path, and theorem boundary.	Changes physical rows but is invisible to the prime-radial source dictionary.
ARITH.LIVE_MARGINAL_FARKAS	historical_native_assets	The actual live Target-Lorenz marginal is one joint finite primal/Farkas problem, with feasibility open.	521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	claims/lemmas/L-94023-the-anchored-native-interface-is-one-exact-joint-primal-farkas-problem.md	L-94023	A/B:OMITTED_OR_PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local declared scope	finite reduction	State explicitly that the theorem is an exact finite reduction and that feasibility is open.	Uniform feasibility of the declared live template cone or an exact dual separator.	standalone fail-closed finite reduction			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned the live-marginal source and controlling review.	Branchwise positivity of the actual oriented child remains refuted; this theorem supplies the correct joint problem.
ARITH.VOLTERRA_GREEN	historical_native_assets	The factor-67 endpoint inverse has an exact distributional Green formula with both boundary modes and all activation-knot atoms.	638	73ee57ccc684f4062769a6d1c0456b3ef6318db2	claims/lemmas/L-99230-distributional-volterra-green-formula.md	L-99230	A/B:OMITTED_OR_PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local declared scope	distributional identity	Retain both boundary modes and every activation-knot atom; smooth-cell density alone is incomplete.	Positive equality-frame/source realization including all modes and atoms remains open.	standalone distributional identity			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned and reviewed the exact distributional Green formula.	Nullspace span{sqrt(x),x} and derivative-jump atoms are load-bearing.
ARITH.DIRECT_INTEGRAL_COMMON_ROW	historical_native_assets	Given a valid positive endpoint measure and correctly typed packets, direct integration and finite cubature preserve one supplied common physical row and listed linear coordinates.	620	493e12fcba3f9b98dda7c3595bff73b256e00ca4	claims/lemmas/L-99022-direct-integration-and-exact-cubature.md	L-99022 (excluding L-99022.3)	A/B:OMITTED	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_CONDITIONAL	CONDITIONAL_EXACT	conditional local realization	conditional integration API	Delete the unsupported literal-score=4sqrt(X) assignment and state the valid positive-measure/typed-packet hypotheses.	Primitive calibration defect and a source-faithful common-parent construction remain open.	conditional local realization API			NOT_APPLICABLE	CANONICALIZE_CONDITIONAL_API	Reviewer C final pass pinned PR #620 and the PR #635 first broken arrow.	Finite integration/cubature preserves a supplied common row and linear coordinates; it does not create the required row.
OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM	xi_pick	Negative index of H=A-G*G equals Birman-Schwinger gains above one under the stated coercive hypotheses.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91900-birman-schwinger-loop-detects-every-bound-state-and-negative-direction.md	L-91900	B:VERIFIED	A×B:NOT_DISPUTED	C:REPRESENTED	VERIFIED	A>=cI with closed bounded coupling	operator theorem		No complete arithmetic small-gain theorem is supplied.	standalone operator theorem			NOT_APPLICABLE	CANONICALIZE	Reviewer B reconstructed the operator normal form.
OPERATOR.XI.PICK_ORDER2	xi_pick	Every actual-Xi infinitesimal safe Pick packet of size at most two is positive.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	L-91905	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	all safe real nodes	analytic zero-orbit theorem	State centered grouping, differentiated local convergence, multiplicity, and exact external input.	Order three requires additional curvature.	unconditional low-order theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	No finite numerical sample is used as proof.
OPERATOR.XI.PICK_ORDER3.DETERMINANT	xi_pick	The 3x3 Caratheodory determinant factors into reciprocal-p and tp divided-difference curvatures.	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	L-92000	B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	three positive safe nodes	exact algebra		Curvature signs require separate theorems.	standalone exact factorization			NOT_APPLICABLE	CANONICALIZE	Independent symbolic replay matches the factorization.
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	xi_pick	The companion tp curvature has the required nonpositive second divided-difference sign on the safe axis.	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	L-92001	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4; grouped actual-Xi zeros	analytic orbitwise curvature	State grouped convergence and multiplicity summation.	Reciprocal curvature remains separate.	unconditional curvature theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The needed repair is analytic bookkeeping.
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	xi_pick	Positive reciprocal-concave C2 functions are closed under positive sums and locally C2-convergent positive series.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	L-92100	B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	positive C2 functions	exact differential inequality		Application requires a valid orbit decomposition.	standalone theorem			NOT_APPLICABLE	CANONICALIZE	The cross term is an exact nonnegative square.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	xi_pick	One high off-line orbit is absorbed by an explicit O(m/b^2) fraction of one low critical orbit.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	L-92101	B:VERIFIED	A×B:ACCEPT_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4; c>r; kappa<1	exact rational curvature domination	State the representative and multiplicity convention and the c>r, kappa<1 hypotheses.	Global summability/source lock remains separate.	conditional-on-height local theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The exact cross-curvature algebra withstands independent replay.
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	xi_pick	The complete hypothetical off-line curvature budget uses less than one coefficient unit of a fixed verified critical orbit.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	L-92102	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_SOURCE_LOCK_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	all hypothetical off-line representatives above the verified height	global reserve allocation	Correct the Platt-Trudgian bibliographic/source lock; state N(T) bound and orbit counting; do not claim the external computation was rerun.	External source lock and grouped infinite sum must be explicit.	strong unconditional result using published finite-height input			NOT_APPLICABLE	CANONICALIZE_AFTER_SOURCE_LOCK_REPAIR	The exact allocation bound is tiny and no double-spend occurs; PR #446 and #460 share one ledger.	Canonicalize as a shared critical-reserve resource node; do not add it twice in conjunctive graphs.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	xi_pick	The actual-Xi reciprocal Clark coordinate is concave on t>1/4 after grouped zero-orbit assembly.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	L-92103	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_MULTIPLICITY_FIX	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4	locally C2 grouped zero-sum theorem	Retain the residual (m0-1)R0 if the selected critical orbit has multiplicity m0; state grouped C2 convergence.	No higher-order Pick positivity follows.	unconditional curvature theorem			NOT_APPLICABLE	CANONICALIZE_AFTER_FIXES	The omission is bookkeeping, not a missing curvature estimate; using only one coefficient unit avoids a hidden simplicity dependency.
OPERATOR.XI.PICK_ORDER3	xi_pick	Every actual-Xi infinitesimal safe Pick matrix of size at most three is positive semidefinite.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	T-92100	B:VERIFIED_WITH_FIXES	A×B:AGREE_PSD_WITH_FIXES	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	all safe real packets of size <=3	analytic theorem	Replace the corrupt historical replay; repair external lock; retain residual multiplicity; state PSD canonically and omit distinct-node positive-definite strictness unless separately proved.	Pick order four and all-order positivity remain open.	strong unconditional theorem, not RH			SOURCE_REPLAY_CORRUPT; CLEAN_LIGHT_REPLAY_PASS; EXTERNAL_HIGH_ZERO_NOT_RERUN	CANONICALIZE_AFTER_FIXES	All independent reviews accept PSD through order three after the same local repairs.
OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	xi_pick	Actual-Xi infinitesimal safe Pick positivity holds for every finite packet size from four upward.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91904-the-infinitesimal-safe-pick-kernel-is-a-countable-rh-criterion.md	L-91904	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	all finite safe rational packets	countable RH criterion		OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	equivalent to RH together with reviewed criterion			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Order three does not bootstrap abstractly.
OPERATOR.XI.LOEWNER_LOW_ORDER	xi_pick	Pairwise squared-pole curvature identities and the reciprocal Loewner-Hankel congruence yield the stated low-order Xi monotonicity results.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	OPERATOR.XI.CURVATURE.PAIRWISE / SCHWARZIAN_ORDER2	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_SHARED_RESOURCE_WARNING	C:REPRESENTED	VERIFIED_WITH_FIXES	safe real axis at exact stated orders	exact algebra plus shared reserve	Pin exact downstream theorem paths and alias anchor domination to the same critical-reserve ledger as PR #446.	No all-order monotonicity follows.	standalone low-order theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Local mathematics survives; shared resource must not be counted twice.	Original source PR #460 @ db9a767e312d9928f5ef827762dcb4ef95494af0. Controlling exact review rows preserve the shared-reserve warning.
OPERATOR.XI.FRACTIONAL_STRING_FIXED_ORDER	xi_pick	For every prescribed fixed order, fractional-string scaling and beta-Hankel high-axis asymptotics hold away from the negative cut.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	OPERATOR.XI.FRACTIONAL_STRING.BETA_HANKEL / SCALING	B:VERIFIED_WITH_FIXES	A×B:AGREE_FIXED_ORDER	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	each fixed order; compact sectors away from cut	asymptotic determinant theorem	Pin the exact source filenames; state derivative uniformity and normalization.	Growing order is not proved.	standalone fixed-order theorem			NOT_APPLICABLE	TARGETED_PATH_PIN_THEN_CANONICALIZE	The mathematics is accepted, but the exact paths used here require source-tree pinning.	Original source PR #461 @ ea633d416609565b3926f37c9302c93e1b818e2d. Controlling exact review row is used until original file paths are canonicalized.
OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	xi_pick	The Xi impedance is eventually matrix monotone to a growing order.	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	L-92302	B:GAP_BLOCKED	A×B:AGREE_NONMINOR_GAP	C:CONTROLLED	GAP_BLOCKED	joint order-height limit	unproved moving-frame theorem	Supply quantified moving-band Vandermonde and perturbation bounds uniform in order and height.	Uniform moving-order control is absent.	invalid as stated			NOT_APPLICABLE	QUARANTINE	Fixed-order asymptotics do not imply the claimed growing-order theorem.
OPERATOR.SAFE_LINE.HAUSDORFF_PICK	safe_line_operator	Safe-line normalized scalars have exact Hausdorff moment, square-root, and Stieltjes/Pick transforms; the complete positivity criterion remains RH-equivalent.	393	ec118df8a133a1e4800f292641d42af1ba79f938	claims/lemmas/L-91001-safe-line-beta-finite-difference-kernels.md|claims/lemmas/L-91002-safe-line-laguerre-euler-weights.md|claims/lemmas/L-91003-safe-line-square-root-generating-transform.md|claims/theorems/T-91001-single-safe-line-hausdorff-pick-rh-criterion.md	L-91001/L-91002/L-91003/T-91001	B:PARTIAL	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	declared safe-line transform scope	exact transform theorem plus open criterion	Separate unconditional transforms from the RH-equivalent sign criterion.	Prime-side annular Pick sign remains open.	standalone transform family			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C path-pinned a genuinely distinct older theorem family.
OPEN.OPERATOR.RADIAL_CURVATURE	safe_line_operator	Completed-Xi radial curvature is nonnegative for every center and 0<t<1/4.	394	82ee32348b05512514462966bfeb4e2de4ae5ecf	claims/theorems/T-91002-rh-is-radial-concavity-of-completed-xi-modulus.md	T-91002	B:PARTIAL	A×B:MISSED_CANDIDATE	C:DELTA_OPEN_RH_EQUIVALENT	OPEN_RH_EQUIVALENT	all centers and 0<t<1/4	RH-equivalent radial criterion		OPEN.OPERATOR.RADIAL_CURVATURE	equivalent to RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Exact depth-projector identities survive, but the sign is the theorem.
OPERATOR.CATALAN_VK_SAFE_DISC	safe_line_operator	High-carrier safe-disc geometry converges to the Catalan/Stieltjes law, and VK input transports a limited positivity region.	395	7106b3b2e06b8193861851890db12767a03b5df4	claims/lemmas/L-91008-high-carrier-safe-disc-is-catalan-stieltjes.md|claims/lemmas/L-91009-log-derivative-control-transfers-to-annular-pick-positivity.md|claims/theorems/T-91004-vinogradov-korobov-penetrates-the-pick-sign-annulus.md	L-91008/L-91009/T-91004	B:PARTIAL	A×B:MISSED_CANDIDATE	C:DELTA_CONDITIONAL	CONDITIONAL_EXACT	high carrier and declared annulus	asymptotic theorem with external analytic input	Pin exact external VK theorem and quantifiers.	The RH-bearing annular sign remains open.	standalone asymptotic			NOT_APPLICABLE	CANONICALIZE_AFTER_CITATION_LOCK	This is not the same object as low-order actual-Xi Pick positivity.
OPERATOR.GREEN_REMOVAL_PORTS	safe_line_operator	Finite Green orders, Green-removal density, terminal-scale positivity, and the crossed critical-port dictionary survive.	396	a7e140614a2544b320c274acc5c599e5176cea97	claims/lemmas/L-91023-weighted-harris-fkg-all-green-jordan-hierarchy.md|claims/lemmas/L-91026-green-removal-is-one-explicit-boundary-density.md|claims/lemmas/L-91027-green-removal-is-unconditionally-positive-at-terminal-scales.md|claims/lemmas/L-91028-green-removal-is-positive-at-all-sufficiently-small-scales.md|claims/lemmas/L-91033-horizontal-contour-crossing-selects-exactly-zeros-deeper-than-the-cauchy-scale.md|claims/lemmas/L-91034-krein-langer-cauchy-source-critical-port-decomposition.md	L-91023/L-91026/L-91027/L-91028/L-91033/L-91034	B:PARTIAL	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	declared finite orders and small/large scales	boundary-density and port-classification packet	Keep the crossed hyperbolic-port exclusion open/RH-equivalent and pin the corrected threshold artifact separately.	Compact middle density and conservative port identity remain open at global scope.	standalone operator family			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C recovered exact theorem paths distinct from PR #446.
OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	suzuki_hardy	Suzuki's completed Jordan-Hankel operator gives the explicit amplitude-level scattering isometry.	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91035-suzuki-hankel-is-the-explicit-completed-jordan-scattering-isometry.md	L-91035	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	published safe range and corrected normalization	imported operator theorem	Pin the primary source and distinguish amplitude isometry from curvature sign.	Coefficient-one first-chaos domination remains open.	standalone operator result			NOT_APPLICABLE	CANONICALIZE_AFTER_SOURCE_LOCK	No amplitude-to-curvature promotion survives.
API.SUZUKI.FOCK_FIRST_CHAOS	suzuki_hardy	A source-linear positive Poisson colligation reduces to first chaos under all-intensity naturality and orthogonal product-system grading.	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91036-any-source-linear-poisson-colligation-reduces-to-first-chaos.md	L-91036	B:VERIFIED_WITH_FIXES	A×B:WEAKEN_TO_CONDITIONAL	C:REPRESENTED	CONDITIONAL_EXACT	all r>=0 intensity family with exact K_r=rK_1 and chaos grading	conditional structural API	State all-intensity naturality, orthogonal/Wiener-Itô grading, and exact source-linearity; do not apply to an arbitrary r=1 factorization.	The structural hypotheses are not automatic.	conditional API			NOT_APPLICABLE	CANONICALIZE_AS_CONDITIONAL_API	This is the principal new scientific weakening from A's second cross-pass.
OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	suzuki_hardy	The complete positive source-side first chaos dominates the fully polarized coefficient-one output tangent, preserving all delay/orientation/bridge terms.	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/theorems/T-91008-corrected-delayed-first-chaos-tangent-intertwiner.md	T-91008	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	all corrected delayed form-core directions	open source-to-output domination		OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	equivalent to the complete delayed screw/Weil or Pick sign			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	The positive local reservoirs do not supply the common-source map.
OPERATOR.PRIME_JULIA_ABSORPTION	suzuki_hardy	The local prime Julia reserve absorbs the fixed-scale long-jump channel with corrected margin 21587/38416.	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/theorems/T-91501-prime-julia-reserve-absorbs-the-fixed-scale-oscillatory-long-jump-channel.md	T-91501	B:VERIFIED_WITH_FIXES	A×B:NOT_DISPUTED	C:REPRESENTED	VERIFIED_WITH_FIXES	declared fixed scale	exact operator inequality	Correct the printed rational margin and preserve source normalization.	The finite drift/gamma/pole/bridge source lock remains open.	standalone local theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The arithmetic correction strengthens the margin.
REFUTATION.HEAT.UNIFORM_CENTER	heat_hermite	Uniform-center fractional heat cannot obtain a tunable exponent: Weyl displacement changes parity and conjugates the heat generator.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	HEAT.FRACTIONAL.UNIFORM_CENTER_*	B:REFUTED_MECHANISM	A×B:AGREE_REFUTED	C:CONTROLLED	REFUTED_MECHANISM	uniform center over vertical translates	analytic Bohr/Weyl no-go		The exact uniform-center exponential type is 1/2.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	Fixed-center signed heat remains distinct and open.	Original source PR #618 @ 2dfa73325a6402418fc64b9e554c1b13dd2b9bf1. Controlling review consolidates PRs #613/#617-#623.
OPEN.HEAT.FIXED_CENTER_PHASE	heat_hermite	A fixed-center phase-sensitive fractional heat estimate controls the pole-bearing signed source.	708	eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	HEAT.FRACTIONAL.FIXED_CENTER_PHASE	B:OPEN_SUFFICIENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	fixed center and source-faithful phase	open signed heat estimate		OPEN.HEAT.FIXED_CENTER_PHASE	sufficient for RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	Uniform-center positivity cannot replace this signed estimate.	Original source PR #618 @ 2dfa73325a6402418fc64b9e554c1b13dd2b9bf1. Open frontier is sourced to the consolidated review.
