pr	head_resolution	exact_head_sha_if_resident	coverage_source	selected_claim_ids	final_lifecycle_disposition	controlling_review	canonical_extraction	notes
433	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
434	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
435	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
436	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	9aeccd55779689d3ee105d16a0caf6f600ff1ea2	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
437	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
438	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	bb7327d21c47410820cda2671f45dbe709a72eea	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM|OPERATOR.XI.PICK_ORDER2|OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
439	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	706445c01d4a5c9f852a4faf1329bd9858dc727a	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	ARITH.CAUSAL_PACKET_BUDGET	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
440	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
441	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
442	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
443	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
444	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
445	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	c079c2ef21022be951027de1316aecf1168422c1	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.XI.PICK_ORDER3.DETERMINANT|OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
446	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	880d14cb4bcbf542ec199137d60c58d9a8fd723d	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM|OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT|OPERATOR.XI.CRITICAL_RESERVE_BUDGET|OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL|OPERATOR.XI.PICK_ORDER3	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
447	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
448	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
449	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
450	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
451	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
452	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
453	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
454	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	a0409d54250bc211d62718a1aedb6fa020d7f091	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	ARITH.FINITE_FARKAS	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
455	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
456	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
457	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
458	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
459	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
460	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	db9a767e312d9928f5ef827762dcb4ef95494af0	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
461	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	ea633d416609565b3926f37c9302c93e1b818e2d	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	LIVE_OPEN_GATE	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
462	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
463	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
464	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
465	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
466	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
467	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
468	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
469	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
470	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	89af3206ea1894884613e1188b5ab9a6a4cd74f0	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	ARITH.Y4_REPAIR_CONE	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
471	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
472	EXACT_HEAD_RESIDENT_IN_RECONCILIATION	bb364396e09717237351d4aed9aadf6c570cb7fc	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	ARITH.Y4_RADIAL_NULL_GAUGE	CANONICALIZED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd; Reviewer D reconciled claim rows	Extract selected semantic IDs only	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
473	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
474	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
475	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
476	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
477	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
478	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
479	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
480	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
481	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
482	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
483	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
484	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
485	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
486	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
487	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
488	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
489	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		HISTORICAL_FULL_PROPOSAL	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
490	PINNED_IN_REVIEW_C_FINAL_HEAD_RECONCILIATION@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd		SUPERSEDED	Reviewer C final census @ a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	No direct canonical extraction in this freeze	Lifecycle recommendation only; exact mathematical disposition remains in Reviewer C PR_CENSUS/PASS2_FINAL_REVIEW at the frozen head.
