semantic_id	source_pr	source_head_sha	source_path	source_claim_id	statement_short	dependencies	quantifier_scope	proof_kind	mathematical_verdict	evidence_tier	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	duplicate_of	computation_status	canonicalization_recommendation	notes
OPERATOR.SUZUKI.ONE_GREEN_PRIMITIVE	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	PR-403-III-Green	One Green primitive removes every local singularity and has an exact Hardy transform.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Clarify local Hilbert-Schmidt versus global losslessness.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.SUZUKI.ONE_NODE_EXHAUSTION	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	PR_BODY	ONAE_a	One interior-node arithmetic norm exhaustion would delete every crossed-zero port.			analytic	OPEN_SUFFICIENT_FOR_RH	LINE_BY_LINE_RECONSTRUCTION		Arithmetic source norm at the node is not identified.	open_sufficient_for_RH				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
OPERATOR.GAMMA.COVARIANT_CONNECTION	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91306-moving-unitary-covariant-curvature-data-processing.md	L-91306	Gamma/pole motion enters as an exact covariant connection in the completed tangent.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin differentiability and domain conventions.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.PRIME.TAIL_HANKEL_JULIA	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91307-prime-scattering-tangent-has-an-explicit-tail-hankel-julia-dilation.md	L-91307	The ordinary-prime score has an explicit positive tail-Hankel Julia dilation.		fixed safe a=4	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State exact source measure and mass bound.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.FISHER.MODEL_COLLIGATION	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91313-completed-fisher-phase-feature-has-an-exact-vector-hankel-colligation.md	L-91313	The completed Fisher source factors into the Suzuki tangent plus a positive auxiliary.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Do not identify this source with the prime Poisson source.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.OPERATOR.RAW_DELAY_INVARIANCE	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	PR_BODY	R-91011	Raw positive Hardy delays do not preserve K_Theta.			exact model-space no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.HARDY.COMPRESSED_DELAY	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/lemmas/L-91401-positive-delays-have-an-explicit-model-space-julia-colligation.md	L-91401	Raw delays split exactly into a resident contraction semigroup and positive leakage with a cocycle.		all positive delays and finite mixed packets	analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.OPERATOR.FISHER_POSITIVE_POISSON	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/refutations/R-91402-completed-xi-fisher-law-is-not-a-positive-poisson-source.md	R-91402	The completed Xi Fisher law is not the positive prime Poisson source.			analytic	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT	Pin Nakamura’s primary theorem and parameter conversion in the canonical refutation.		blocks_source_conflation				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.OPERATOR.RENORMALIZED_COMMON_SOURCE	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	PR_BODY	W_a/D_a^ren	A renormalized common source map is required before the Fisher defect can equal the delayed Weil Gram.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No coefficient-one common source map exists.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
OPERATOR.ONE_NODE.OPTICAL_DEPTH	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/lemmas/L-91501-one-node-hyperbolic-port-has-positive-optical-depth-flow.md	L-91501	The crossed-zero one-node port has a strictly positive optical-depth flow.		fixed interior eta>1/2	analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.HEAT.PLASTIC_CUTOFF	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/lemmas/L-91502-plastic-cutoff-isolates-the-negative-long-jump-hankel-channel.md	L-91502	The plastic cutoff isolates the negative continuum as a positive-measure tail-Hankel phase channel.		fixed safe a=4	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State drift renormalization.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.THETA.TWO_HARDY	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/lemmas/L-91503-theta-dtn-is-a-two-hardy-contraction-with-an-exact-jacobi-cell.md	L-91503	Theta DtN is a two-Hardy contraction; each tilted Jacobi cell has gap 9/8.			analytic	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
OPERATOR.PRIME.JULIA_ABSORPTION	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/theorems/T-91501-prime-julia-reserve-absorbs-the-fixed-scale-oscillatory-long-jump-channel.md	T-91501	The prime Julia reserve absorbs four long-jump copies with strict positive margin.		fixed scale a=4	analytic	VERIFIED_WITH_FIXES	LIGHT_EXACT_REPLAY	Correct 19751/38416 to 21587/38416.		independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
CRITERION.OPERATOR.FINITE_SOURCE_LOCK	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	PR_BODY	fixed-scale source lock	The remaining drift/gamma/pole/bridge source lock would close the fixed-scale route.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		Common-source normalization is not proved.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
OPERATOR.HARDY.DELAYED_FORM_CORE	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91320-delayed-carrier-family-has-exact-weighted-form-core.md	L-91320	All carriers and delays span the weighted mean-zero half-line form core.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State common full-measure delay set and multiplier argument.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.HARDY.CANONICAL_BRIDGE	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91321-weighted-two-sided-core-has-a-canonical-bridge.md	L-91321	The two half-line defects have a unique normalized canonical bridge.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.HARDY.COMPRESSED_DILATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91322-raw-hardy-delays-have-a-compressed-model-space-dilation.md	L-91322	Raw delays split into resident and leakage Grams with semigroup/cocycle laws.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.HARDY.THREE_CHANNEL_COLLIGATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91323-every-physical-hardy-input-has-a-three-channel-delay-colligation.md	L-91323	Every physical input has exact model, amplitude and leakage channels.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.FISHER.BOUNDED_RENORMALIZATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91325-bounded-renormalized-fisher-feature-isolates-the-reciprocal-xi-leg.md	L-91325	A bounded Fisher feature isolates the reciprocal-Xi leg.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.FISHER.FORCED_DOMAIN	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91326-logarithmic-weighted-model-projection-closes-the-forced-cauchy-domain.md	L-91326	Forced Cauchy and bridge vectors lie in the logarithmic model-projection domain.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State exact localization constants.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.HARDY.FINITE_POLE_JETS	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91327-delayed-cauchy-tangent-reduces-to-finite-pole-jets-and-toeplitz-resolvents.md	L-91327	Continuous delay acts triangularly on finite Cauchy pole jets.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.SUZUKI.BOUNDED_TANGENT	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91328-safe-suzuki-logarithmic-tangent-is-uniformly-bounded.md	L-91328	The safe Suzuki logarithmic tangent is uniformly bounded.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State uniformity in carrier and pole distance.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.CRITICAL_JET_LOCALIZATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91329-cauchy-tangent-localizes-to-one-critical-xi-jet-and-one-safe-multiplier.md	L-91329	Every physical tangent localizes to safe multipliers and one critical Xi jet.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.PICK_KERNEL_IDENTIFICATION	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/lemmas/L-91332-critical-cauchy-jet-is-the-nevanlinna-pick-jet-of-minus-xi-prime-over-xi.md	L-91332	The critical channel is exactly the Pick kernel of -Xi-prime/Xi.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State pole-avoidance and continuation conventions.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.FISHER.NORMALIZED_RAW_CORE	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/refutations/R-91324-normalized-fisher-hankel-feature-has-trivial-natural-l2-core.md	R-91324	The raw normalized Fisher-Hankel feature has trivial natural Hardy L2 domain.			Paley-Wiener no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.OPERATOR.FIXED_COLLIGATION_SPEED	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/refutations/R-91330-no-fixed-contraction-can-send-the-completed-fisher-curve-to-all-safe-suzuki-phases.md	R-91330	One fixed all-scale Fisher-to-Suzuki contraction is impossible by speed mismatch.			quantitative no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.OPERATOR.CROSS_GRAM_RIGIDITY	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	claims/refutations/R-91331-fixed-contraction-between-isometric-curves-is-cross-gram-rigid.md	R-91331	A fixed contraction mapping isometric curves must preserve all cross Grams, which Fisher and Suzuki do not.			operator no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.OPERATOR.FIXED_SCALE_POSITIVE_FORM	429	56294bfcd2bdbce4c40b08f67cb996a39868f563	PR_BODY	fixed-scale positive-form theorem	A fixed-scale source-minus-output positive form realizing the full Pick kernel would prove RH.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No source construction of the full critical Pick kernel exists.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
HEAT.FRACTIONAL.POSITIVE_CHAOS	613	6809d8509f031f7f783ef20e2250ff2735e32924	PR_BODY	fractional positive chaos	The reciprocal-Julia fractional power has an exact positive generalized-prime chaos expansion.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Do not attach the withdrawn uniform-center conclusion.		independent_local_algebra				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.TAO_LOCAL_GRAM	613	6809d8509f031f7f783ef20e2250ff2735e32924	PR_BODY	finite Tao Gram	Finite atomwise Tao Gram identities are exact at unphased local scope.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Mark explicitly as unphased and non-direct-limit.		independent_local_algebra				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.HEAT.WEYL_PARITY	613	6809d8509f031f7f783ef20e2250ff2735e32924	PR_BODY	R-98900/R-98911	Weyl displacement does not preserve number parity.			exact operator identity	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_centering_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.WEYL_HEAT_INVARIANCE	613	6809d8509f031f7f783ef20e2250ff2735e32924	PR_BODY	R-98901	Weyl centering conjugates logarithmic heat rather than leaving it unchanged.			exact operator identity	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_heat_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.POSITIVITY_ONLY_RATE	613	6809d8509f031f7f783ef20e2250ff2735e32924	PR_BODY	R-98902	A positivity-only Schur completion has a theta-independent heat-rate floor.			asymptotic no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_uniform_positive_completion				NOT_APPLICABLE	CANONICAL_REFUTATION	
HEAT.FRACTIONAL.SIBUYA_SOURCE	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/lemmas/L-98710-sibuya-decorated-squarefree-fractional-source.md	L-98710	Fractional reciprocal-zeta coefficients have a canonical Sibuya-decorated squarefree source.			analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.DIFFERENCE_GRAM	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/lemmas/L-98711-exact-window-energy-gram-and-exhaustion.md	L-98711	Windowed fractional energy is an exact Gaussian difference-kernel Gram with cutoff exhaustion.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State dominating function and limit topology.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.FIRST_VARIATION	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/lemmas/L-98712-first-variation-is-the-phase-locked-prime-power-carrier.md	L-98712	The first theta variation is the phase-locked generalized-prime First-Hermite carrier.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Keep fixed-center and uniform-center quantifiers separate.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.UNIFORM_TYPE_HALF	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/lemmas/L-98713-uniform-center-energy-has-type-one-half.md	L-98713	The supremum over centers of the fractional heat energy has exact exponential type 1/2.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State Selberg-Delange/vertical-limit inputs and limsup passage.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.FIRST_CHAOS_TRACE	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/lemmas/L-98714-first-chaos-trace-is-logarithmic.md	L-98714	The genuine one-particle heated trace grows logarithmically.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State uniformity and cutoff conventions.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.HEAT.UNIFORM_CENTER	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/refutations/R-98710-uniform-center-fractional-heat-bound-fails.md	R-98710	The uniform-center fractional heat bound with rate proportional to theta is false.			Bohr/Selberg-Delange no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			kills_original_heat_route				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.TAO_DIRECT_LIMIT	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/refutations/R-98711-tao-atoms-do-not-supply-the-fractional-fock-gram.md	R-98711	Local Tao atoms do not form the phase-ready direct limit required by the Fock Gram.			finite separator	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE			blocks_tao_port_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.WEYL_CENTERING_PARITY	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/refutations/R-98712-weyl-centering-changes-parity.md	R-98712	Weyl centering changes parity rather than preserving it.			analytic	DUPLICATE_ALIAS	LINE_BY_LINE_RECONSTRUCTION			same_no_go			REFUTATION.HEAT.WEYL_PARITY	NOT_APPLICABLE	ALIAS_ONLY	
CRITERION.HEAT.FIXED_CENTER_PHASE_LOCKED	618	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1	claims/theorems/T-98710-phase-locked-fractional-hermite-frontier.md	PLFHE	A fixed-center phase-sensitive compensated heat estimate would imply RH.		each fixed center; constants may depend on center	analytic	OPEN_SUFFICIENT_FOR_RH	LINE_BY_LINE_RECONSTRUCTION		No source-faithful fixed-center heat/Carleson bound is proved.	open_sufficient_for_RH				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
REFUTATION.HEAT.TAO_PHASE_PORT	619	0f91f43908493866c9fd5130d2a7bd4645b4a51f	claims/lemmas/L-98901-phased-tao-port-identity-and-separator.md	L-98901	The unphased Tao diagonal fails a phase-locked port; the 2x2 determinant is -80/81.			exact rational separator	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY			blocks_phase_zero_port				LIGHT_EXACT_REPLAY	CANONICAL_REFUTATION	
HEAT.FRACTIONAL.POLE_CARRIER	617	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521	claims/lemmas/L-98910-fractional-pole-branch-heat-asymptotic.md	L-98910	The real pole branch has a heat asymptotic forcing type 1/2.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State constants and theta range.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.POSITIVE_POLE_CARRIER	617	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521	claims/lemmas/L-98912-positive-continuum-carrier-removes-the-pole-branch.md	L-98912	A positive continuum carrier removes the explicit pole branch but adds a fixed-rate positive diagonal.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Do not infer signed cancellation.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.POLE_CENTERED_DETECTOR	617	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521	claims/lemmas/L-98913-normalized-pole-centered-fractional-reciprocal-zeta.md	L-98913	Pole-centered normalization retains a reciprocal-zeta detector in a signed channel.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State multiplier noncancellation and normalization.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.MERTENS_STIELTJES_SOURCE	617	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521	claims/lemmas/L-98914-normalized-carrier-is-the-reciprocal-mertens-stieltjes-source.md	L-98914	The normalized carrier has an exact reciprocal-Mertens Stieltjes representation.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State Stieltjes endpoint conventions.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.HEAT.POSITIVE_SPECTRAL_COMPLETION	617	c3d12f4d236e2c9ff8f5a0f204bd6eb04946c521	claims/refutations/R-98912-positive-spectral-completion-has-a-theta-independent-heat-rate-floor.md	R-98912	Every positivity-only spectral completion retains a theta-independent heat-rate floor.			asymptotic no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_positive_completion				NOT_APPLICABLE	CANONICAL_REFUTATION	
HEAT.FRACTIONAL.RECIPROCAL_RENEWAL	621	46afb6e15eef95c9268eff1791a7135b9783a2b2	claims/lemmas/L-98920-reciprocal-julia-positive-renewal-identity.md	L-98920	The reciprocal Julia source has an exact positive renewal identity.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Separate exact renewal from the open negative-mass bound.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.OWNER_MARTINGALE_PREFIX	621	46afb6e15eef95c9268eff1791a7135b9783a2b2	claims/lemmas/L-98921-logarithmic-owner-martingale-prefix-equation.md	L-98921	The logarithmic owner process has an exact martingale-prefix equation.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State filtration and terminal integrability.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.HEAT.RENEWAL_NEGATIVE_MASS	621	46afb6e15eef95c9268eff1791a7135b9783a2b2	claims/theorems/T-98920-negative-mass-reciprocal-renewal-frontier.md	T-98920	A source-prescribed renewal/Bellman negative-mass estimate would close the pole-centered route.			analytic	OPEN_SUFFICIENT_FOR_RH	LINE_BY_LINE_RECONSTRUCTION		No subpower negative-mass estimate is proved.	open_sufficient_for_RH				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
HEAT.FRACTIONAL.POLE_CENTERED_SIGNED_SOURCE	623	712412e286cc309bbe9960ee839df158316df9e5	claims/lemmas/L-99000-exact-pole-centered-source-and-signed-current.md	L-99000	The corrected pole-centered mixed source and signed current are exact.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Preserve signed type; do not relabel as positive.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.FRACTIONAL.ORDER_INVARIANT_TYPE	623	712412e286cc309bbe9960ee839df158316df9e5	claims/lemmas/L-99001-fractional-order-does-not-change-heat-type.md	L-99001	Changing fractional order does not reduce the uniform-center heat type.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State asymptotic regime and constants.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.HEAT.BOSON_PARITY_REFLECTION	623	712412e286cc309bbe9960ee839df158316df9e5	claims/refutations/R-99001-fock-parity-does-not-reflect-log-energy.md	R-99001	Bosonic number parity commutes with logarithmic energy; it does not reflect it.			exact operator no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.ANTIPODAL_VERTICAL_LIMIT	623	712412e286cc309bbe9960ee839df158316df9e5	claims/refutations/R-99002-antipodal-vertical-limits-block-uniform-centering.md	R-99002	Antipodal vertical limits block every tunable uniform-center repair.			vertical-limit no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.HEAT.POSITIVE_POLE_CENTERING	623	712412e286cc309bbe9960ee839df158316df9e5	claims/refutations/R-99003-positive-pole-centering-cannot-create-the-needed-cancellation.md	R-99003	Positive pole centering cannot create the signed cancellation required by the detector.			structural no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.HEAT.POLE_CENTERED_SIGNED	623	712412e286cc309bbe9960ee839df158316df9e5	claims/theorems/T-99000-fractional-hermite-route-corrected-frontier.md	PCSCHE	The pole-centered signed compensated heat estimate is the controlling remaining theorem.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		The signed heat/current estimate is unproved.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
HEAT.FRACTIONAL.CONTROLLING_SYNTHESIS	622	9d70d2b8bd932d1775600dd5e95f501324eae72b	reports/gpt56-pro/2026-08-19-fractional-julia-heat-hostile-synthesis.md	T-99040	Controlling synthesis: uniform-center is dead; only fixed-center signed/source-prescribed fronts survive.			review synthesis	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			classification	T-98700/T-98900 full-route wrappers			NOT_APPLICABLE	CANONICAL_FAMILY_STATUS	
HEAT.HERMITE.COUNTABLE_CRITERION	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	T-375/T-379	Nonnegativity of first-Hermite zero heat for all q,x is equivalent to all zeros being real; integer q and rational x suffice.		conjugation-invariant zero multiset; zeta specialization	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Add normal-convergence, heat-differentiation and terminal-tail details.		RH_equivalent_criterion				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.HERMITE.PRIME_FORMULA	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	first-Hermite prime formula	First-Hermite zero heat has an exact absolutely convergent Guinand-Weil prime formula.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin transform and explicit-formula normalization.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.HERMITE.FINITE_WITNESS	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	finite witness completeness	False RH would produce a strict rational-parameter finite-prime interval witness.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State effective continuity and tail constants.		finite_semidecision_under_false_RH				NOT_APPLICABLE	EXTRACT_RESULT	
HEAT.HERMITE.BROAD_KERNEL_POSITIVITY	384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	research/external/anthropic-zeta23/proofs/MACROSCOPIC_FIRST_HERMITE_POSITIVITY.md	PR-384-II	First-Hermite heat is positive for all sufficiently broad kernels, uniformly in center.		0<q<=q*; all real x	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Give explicit constants or mark existence-only effectiveness.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.HERMITE.FIXED_RESOLUTION_EXTERIOR	384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	research/external/anthropic-zeta23/proofs/MACROSCOPIC_FIRST_HERMITE_POSITIVITY.md	PR-384-III	For every fixed q, first-Hermite heat is positive at sufficiently large |x|.		fixed q>0; |x|>=X(q)	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State fixed-q prime and pole tail bounds.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
