pr	title	family	head_status	current_disposition	reason_for_pass2	priority	recommended_work	heavy_policy	notes
548	[UNPINNED TITLE] PR #548 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
549	[UNPINNED TITLE] PR #549 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
551	[UNPINNED TITLE] PR #551 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
555	[UNPINNED TITLE] PR #555 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
556	[UNPINNED TITLE] PR #556 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
558	[UNPINNED TITLE] PR #558 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
559	[UNPINNED TITLE] PR #559 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
560	[UNPINNED TITLE] PR #560 — two row mellin factor67 parity	two_row_mellin_factor67_parity	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_NATIVE_ROW_AND_CONTROLLING_REVIEWS	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
569	[UNPINNED TITLE] PR #569 — carry q4 factor67 hardening	carry_q4_factor67_hardening	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
572	[UNPINNED TITLE] PR #572 — carry q4 factor67 hardening	carry_q4_factor67_hardening	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
577	[DESCRIPTIVE] CPSL67-to-RH exact reduction paper	carry_q4_factor67_hardening	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
583	[DESCRIPTIVE] packaging-only publication packet	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	ADMINISTRATIVE_TEST	EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
585	[DESCRIPTIVE] review archive; no new mathematics	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	ADMINISTRATIVE_TEST	EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
586	[DESCRIPTIVE] hostile source-interface review of factor-67 salvage	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
588	[DESCRIPTIVE] archival cutoff-239 reconstruction	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
589	[DESCRIPTIVE] exact LAPBR Bellman frontier refutation	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
590	[DESCRIPTIVE] independent LAPBR no-go and Type II frontier	factor67_q4_dickman_c4mbi	MALFORMED_OR_PLACEHOLDER	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
593	[DESCRIPTIVE] threshold source ledger and subcritical no-go	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
598	[UNPINNED TITLE] PR #598 — factor67 q4 dickman c4mbi	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
601	[DESCRIPTIVE] Lorenz zero-marginal collapse	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
602	[UNPINNED TITLE] PR #602 — factor67 q4 dickman c4mbi	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
604	[DESCRIPTIVE] C4MBI canonical recovery and primitive-prefix identities	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
605	[UNPINNED TITLE] PR #605 — factor67 q4 dickman c4mbi	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
606	[DESCRIPTIVE] UOSACF equivalence and finite-filter exhaustion	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
609	[UNPINNED TITLE] PR #609 — factor67 q4 dickman c4mbi	factor67_q4_dickman_c4mbi	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P1_Q4_C4MBI_FACTOR67	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
