issue	era	issue_label	family	issue_role	materiality	controlling_record	canonical_action	theorem_reachability	review_scope	notes
174	2026-07	gap parity and Loewner inertia	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
175	2026-07	cofinal CvS satisfiability	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
176	2026-07	actual windowed target	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
178	2026-07	five-notch phase-complete block	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
180	2026-07	triangular-window renewal square-function	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
185	2026-07	right-inverse spectral gap	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
188	2026-07	corrected exact cardinal residue identity	localized_weil_operator_kernel	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	corrects earlier blind-cutoff/cardinal claim	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
189	2026-07	weighted-deficit augmentation	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
193	2026-07	J=12 B-spline phase-band scan	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
194	2026-07	universal Loewner–Hankel/Gauss-defect identities	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
195	2026-07	hard-window continuum collision N^-3 law	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
197	2026-07	selected-zero kernel defect is RH-bearing	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
198	2026-07	scalar screw square-cutoff criterion	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
201	2026-07	central xi Stieltjes-Hankel	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
203	2026-07	Möbius lower-tail operator	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
205	2026-07	two-frame conditional kernel	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
207	2026-07	first directed two-frame certificate	localized_weil_operator_kernel	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
210	2026-08	strict second-pass application audit	application_and_affine_proposals	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT		RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
211	2026-08	application-paper exact-absolute-value audit	application_and_affine_proposals	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT		RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
214	2026-08	robust finite verification platform	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
219	2026-08	exact affine arithmetic with missing isometry	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
220	2026-08	exact affine interpolation full-proof candidate	application_and_affine_proposals	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
221	2026-08	centralized multirate signed-energy proposal	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
222	2026-08	source-level square-root finish proposal	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
223	2026-08	harmonic-tail closure candidate	application_and_affine_proposals	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
225	2026-08	coefficient-mismatch correction	application_and_affine_proposals	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls the prior affine coefficient-one formulation	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
226	2026-08	historical issue-methodology record	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
227	2026-08	main synchronization record	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
232	2026-08	doctoral RH proof proposal	application_and_affine_proposals	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
235	2026-08	review correcting harmonic-tail source mismatch	application_and_affine_proposals	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls issue #223 harmonic-tail wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
236	2026-08	historical issue-methodology record	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
239	2026-08	phase-I/II WSTS finite-state reduction	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
240	2026-08	atomic parity proof candidate	application_and_affine_proposals	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
242	2026-08	historical issue-methodology record	application_and_affine_proposals	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
245	2026-08	sparse-piece restriction/double-spend refutation	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls sparse-piece/WSTS restriction shortcut	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
250	2026-08	adversarial carry/SIMD plan	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
252	2026-08	explicit WSTS reduction	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
253	2026-08	P4SP complete candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
255	2026-08	P4SP independent review/refutation	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls issue #253 P4SP wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
259	2026-08	dual drift proof attempt	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
260	2026-08	sign table and entry budgets	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
262	2026-08	complete WSTS proof packet	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
263	2026-08	final WSTS audit	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls issue #262 WSTS wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
264	2026-08	direct-search final closure candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
265	2026-08	31-state certificate candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
267	2026-08	independent review of 31-state certificate	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls issue #265 31-state wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
268	2026-08	signed Q4-Poisson route	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
270	2026-08	endpoint Poisson-moment route	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
272	2026-08	cone-membership correction to additive floor closure	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls additive-floor scalar shortcut	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
275	2026-08	HFTLP candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
276	2026-08	exact depth-one/dyadic counterexamples	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls atomwise threshold claims; followed by #278	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
278	2026-08	standing verdict after atomwise-threshold failure	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	standing corrected verdict after #276	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
280	2026-08	second-pass HFTLP/covariance audit	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls HFTLP/covariance wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
282	2026-08	finite-column/full-region verification	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
284	2026-08	canonical semimartingale reduction	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
285	2026-08	Carleson–Schur proof candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
287	2026-08	Carleson–Schur review/refutation	wsts_carry_q4	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls issue #285 Carleson–Schur wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
289	2026-08	corrected admissible-state no-go	wsts_carry_q4	STANDALONE_ISSUE_RESULT_OR_FIREWALL	MATERIAL_CONTROL_OR_RESULT		CROSS_LINK_TO_PR_OR_CANONICAL_CLAIM	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
290	2026-08	covariant source normalization and four-prime packing	wsts_carry_q4	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
292	2026-08	mode-separated current hardening	wsts_carry_q4	STANDALONE_ISSUE_RESULT_OR_FIREWALL	MATERIAL_CONTROL_OR_RESULT		CROSS_LINK_TO_PR_OR_CANONICAL_CLAIM	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
294	2026-08	signed Poincaré full-solution candidate	wsts_carry_q4	HISTORICAL_FULL_PROPOSAL	HISTORICAL_WRAPPER		ARCHIVE_WRAPPER; LINK_CONTROLLING_REVIEW	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
296	2026-08	Brownian BPY candidate	brownian_q4_operator_late_issue_wave	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
297	2026-08	two-scale renewal/Hardy corridor	brownian_q4_operator_late_issue_wave	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
302	2026-08	independent review of WCP endpoint	brownian_q4_operator_late_issue_wave	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls WCP full wrapper	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
307	2026-08	sparse-target dynamic programme	brownian_q4_operator_late_issue_wave	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
313	2026-08	terminal DP review	brownian_q4_operator_late_issue_wave	CONTROLLING_ISSUE_REVIEW_OR_CORRECTION	MATERIAL_CONTROL_OR_RESULT	controls sparse-target DP closure	RETAIN_CONTROLLING_ISSUE_RECORD	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
