pr	head_before	exact_head_after	title_after	family_after	disposition_before	pass1_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	review_depth	pass2_needed
439	706445c01d4a5c9f852a4faf1329bd9858dc727a	706445c01d4a5c9f852a4faf1329bd9858dc727a	research: causal packet budget, binary-return refutation, and two-ledger rigidity	factor54_causal_packet_genealogy	DELTA_VERIFIED_WITH_FIXES	DELTA_VERIFIED_WITH_FIXES	443/450/652	nonduplicating causal packet budget; child mass <1/8; binary-return refutation; two-ledger rigidity	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	literal source-labelled physical packet typing	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
440		b971121babe6236a1c20cb34cb76215f4521f7bb	three-front continuation: localized Green transport and infinite Beta coercivity	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	PARTIALLY_REPRESENTED	405/431/436/443/450	Green ballistic/localization and finite/infinite Beta coercivity results	real-axis small-a margin and Brownian/theta boundary identity remain open	source-specific boundary-port identification / completed Cauchy intertwiner	EXTRACT_STANDALONE_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
441		3e562d060cee100e25b2400326a3b72002a5ead5	reduce actual-Xi order three to scalar reciprocal concavity	xi_pick_impedance	TARGETED_REVIEW_STILL_REQUIRED	REPRESENTED_BY_B	405/431/436/443/450	exact three-node determinant factorization and reduction to scalar reciprocal concavity	compact actual-Xi reciprocal-curvature sign was open at this head and later addressed by PR #446	actual-Xi order four and above	SUPERSEDED_BY_445_446_FOR_ORDER_THREE	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
442		e2c97d5902bcc5c94d0b6f2f7de0756b84ce6cad	P61 finite-Euler row certificate	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	405/431/436/443/450	finite P61 global row certificate packet	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	method/provenance audit of the finite certificate and live packet assembly	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
443		da4bb5a8f8cd001a8a648d8606dc22e2bb8adc88	review: provenance-causal packet and corrected T-91652 ledger	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	443	review-level exact counterexamples, scope repairs, and frozen-head provenance	L-91659 global root packet and complete transitive lock remain unproved	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
444		6a1dcdf14bb48d4df9cce16e5941087ac05e7934	review packet: three independent CFFP endgames and exact falsifiers	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	443/444	fail-closed three-route decomposition and exact falsifiers	none of the three producer gates is independently established	physical current-generator typing or finite primal/dual feasibility	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
445	c079c2ef21022be951027de1316aecf1168422c1	c079c2ef21022be951027de1316aecf1168422c1	advance: the first open Xi interpolation level is one scalar reciprocal curvature	xi_pick_impedance	CONTROLLED_BY_LATER_REFUTATION	CONTROLLED_BY_LATER_REFUTATION	405/431/436/443/450	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	complete factor-54 wrappers fail at native-root/source/capacity or endpoint-composition arrows	source-faithful native producer with one-use endpoint accounting	archive historical wrappers; retain controlling descendants	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	880d14cb4bcbf542ec199137d60c58d9a8fd723d	breakthrough: one verified critical orbit closes the proposed Xi order-three curvature gate	xi_pick_impedance	CONTROLLED_BY_LATER_REFUTATION	CONTROLLED_BY_LATER_REFUTATION	405/431/436/443/450	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	complete factor-54 wrappers fail at native-root/source/capacity or endpoint-composition arrows	source-faithful native producer with one-use endpoint accounting	archive historical wrappers; retain controlling descendants	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
447		d44c45b3ececa878296914a49e49279b10a1f637	propose corrected provenance-causal factor54 closure with one-sided endpoint criterion	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	450/451/454	independent endpoint, capacity, operator and finite-algebra lemmas identified in claim registry	L-91659 native root current ledger is asserted but not constructed	atomwise native allocation / finite Farkas certificate	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
448		6e95cd3e05b3eb94121084e9c5eedf8a9e4d1bda	generalization: all safe Xi determinants factor into two interlacing alternants	xi_pick_impedance	TARGETED_REVIEW_STILL_REQUIRED	DELTA_OPEN_RH_EQUIVALENT	405/431/436/443/450	exact finite determinant/moment-cone/Stieltjes compactness reduction at the stated algebraic scope	actual Xi finite moment-cone / all-order sign is not proved	actual finite Xi moment-cone membership / positive Krein-string realization	KEEP_CRITERION; DO_NOT_COUNT_AS_INDEPENDENT_PROGRESS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
449		e67f20803c8bbaa4b33aae366870269e5f560731	generalization: complete-Bernstein Xi impedance	xi_pick_impedance	TARGETED_REVIEW_STILL_REQUIRED	DELTA_OPEN_RH_EQUIVALENT	405/431/436/443/450	exact finite determinant/moment-cone/Stieltjes compactness reduction at the stated algebraic scope	actual Xi finite moment-cone / all-order sign is not proved	actual finite Xi moment-cone membership / positive Krein-string realization	KEEP_CRITERION; DO_NOT_COUNT_AS_INDEPENDENT_PROGRESS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
450		734040fba4d299256feb13aaeb45e60468ef6d1f	review: independent assessment of PR #447	factor54_endpoint_operator_genealogy	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	450	review-level exact counterexamples, scope repairs, and frozen-head provenance	L-91659 native root current ledger is not constructed	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
451	f41797c91497dc462f549a127d8494bbe4ccde2f	f41797c91497dc462f549a127d8494bbe4ccde2f	direct native-row response to PR #450: exact capacity replacement and factor-67 reset packet	native_row_hall_target_lorenz	CONTROLLED_BY_LATER_REFUTATION	HISTORICAL_FULL_PROPOSAL	456	literal-row Möbius response, same-index child replacement, corrected factor-67 score difference	stopped-leaf Hall prefix counterexample invalidates universal Hall step	post-Hall joint cone or source-faithful replacement	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
452		0de0709a03771f77ccf1c272535b79f86675184f	root-entry blocker attack: exact post-Hall ledger and single literal-row gate	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_OPEN_SUFFICIENT	470/475/511/514	exact post-Hall current-plus-child ledger conditional on one literal root Hall row identity	root Hall literal-row identity is not supplied	single source-faithful literal root-row identity	KEEP_AS_OPEN_INTERFACE	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
453		a9cecbd3228bc26d4d0c3375c9694ee1e836f66a	advance: projective passive-string endgame and exact finite moment-cone dual	xi_pick_impedance	TARGETED_REVIEW_STILL_REQUIRED	DELTA_OPEN_RH_EQUIVALENT		exact finite determinant/moment-cone/Stieltjes compactness reduction at the stated algebraic scope	actual Xi finite moment-cone / all-order sign is not proved	actual finite Xi moment-cone membership / positive Krein-string realization	KEEP_CRITERION; DO_NOT_COUNT_AS_INDEPENDENT_PROGRESS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
454	a0409d54250bc211d62718a1aedb6fa020d7f091	a0409d54250bc211d62718a1aedb6fa020d7f091	advance: fail-closed native root provenance ledger certificate	native_row_farkas_provenance	DELTA_VERIFIED_WITH_FIXES	DELTA_VERIFIED_WITH_FIXES	470/475/511/514/652	atomwise provenance sufficiency theorem and finite primal/Farkas alternative	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	actual rational allocation on the live source templates	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
455	1b502acbe511776178da3dc916e3cd3464cd5e77	1b502acbe511776178da3dc916e3cd3464cd5e77	final proposal: single-SHARP direct native-row factor-67 closure	native_row_hall_target_lorenz	CONTROLLED_BY_LATER_REFUTATION	HISTORICAL_FULL_PROPOSAL	457/463	single-SHARP native normalization and direct child algebra	factor-three normalization and stopped-leaf Hall obstruction	single native root bridge without false Hall	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
456		a72c1a0505b3bd79f99ad5ec207c39dd052c45a6	independent review of PR #451: stopped-leaf Hall prefix counterexample	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	456/463	review-level exact counterexamples, scope repairs, and frozen-head provenance	stopped-leaf Hall prefix has an exact counterexample	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
457		e136fcf42fbab1195fc193e64ce4039d1a1d416c	review: PR #455 direct native-row factor-67 proposal	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	457/463	review-level exact counterexamples, scope repairs, and frozen-head provenance	balanced/reserve realization has factor-three normalization error and stopped-leaf Hall remains open	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
458		c8cd1e53e7ad96d3c43f213813e0ae0688341015	post-Hall successor: recover hardening work and reduce the stopped-leaf producer to one exact joint cone	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	470/475/511/514	exact joint-cone reduction after accepting stopped-leaf Hall failure	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	finite joint-cone feasibility	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
459		57ddff8e164030323e93892180c6559f3da951b2	review packet: single-SHARP normalization repair and remaining root bridge	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	470/475/511/514	single-SHARP normalization repair and explicit root bridge	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	continuum score to same finite packet	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
460	db9a767e312d9928f5ef827762dcb4ef95494af0	db9a767e312d9928f5ef827762dcb4ef95494af0	advance: verified critical reserve closes low Xi impedance orders and an enormous Hankel tower	xi_pick_impedance	REPRESENTED_BY_B	REPRESENTED_BY_B		finite operator identities and RH-equivalent criteria	no exact broken arrow assigned in this breadth pass	all-order critical Pick/heat/Q4 sign	keep only if independently canonicalized	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
461	ea633d416609565b3926f37c9302c93e1b818e2d	ea633d416609565b3926f37c9302c93e1b818e2d	generalization: Xi impedance renormalizes to a fractional string and finite-order failures live near the cut	xi_pick_impedance	RETAINED_HEAVY_CERTIFICATE	RETAINED_HEAVY_CERTIFICATE		finite operator identities and RH-equivalent criteria	no exact broken arrow assigned in this breadth pass	all-order critical Pick/heat/Q4 sign	keep only if independently canonicalized	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	YES_THEOREM_LEVEL
462		8642e062b6c6f5a4c7d443a1ee5a6e9ecf3e4706	post-Hall advance: exact proportional producer and arithmetic causal tail	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		exact proportional producer and arithmetic causal tail	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	aggregate native-score debt and one-use root realization	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
463		9e138832258d19c252fe60597e36d02bfb95fe39	review: PR #455 single-SHARP stopped-leaf Hall obstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	456/463	review-level exact counterexamples, scope repairs, and frozen-head provenance	stopped-leaf Hall prefix has an exact counterexample	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
464		2eb70463f3d0ae791a9f140694d2ace7032ae864	closure proposal: root score-Hall plus subcritical causal envelope	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	467/468/470	root score identities and Hall-free terminal algebra	root score-Hall/casual envelope still lacks native one-use current/common parent	native root capacity / source-labelled packet	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
465		595ba063a3147faefa3c358db32bbc5937bceb76	Test GitHub connector write path	native_row_hall_target_lorenz	ADMINISTRATIVE_TEST	ADMINISTRATIVE_TEST		none	not applicable	not applicable	EXCLUDE_FROM_SCIENTIFIC_CENSUS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
466		1fdac6bdc81edbc288d3a29503d53f1d0cffc76b	post-Hall closure: literal P61 entropy absorbs proportional score debt	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		literal P61 entropy absorbs proportional score debt	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	finite profile corridor and physical determinants	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
467		d5e03a3a63bd05b43abf4b5e37905f86e9ec59d6	post-Hall advance: complete causal profiles, compact score debt, and target-Lorenz frontier	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		complete causal profiles, compact score debt, and Target-Lorenz target/score producer	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	Target-Lorenz component-row family	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
468		9e2ae6d26a7920055e1f11327dc0ddeb7b855c61	Native-root normalization and Euler-shell recovery	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		native-root normalization and Euler-shell recovery firewalls	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	positive current row with bounded native slack	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
469		3cf685181bd367b92cdcfeef9249e0b9b542a09e	advance: terminal Hall-free P61 generator and native-reservoir firewall	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	470	terminal Hall-free P61 generator and rough-reservoir firewall	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	native rough-reservoir allocation	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	89af3206ea1894884613e1188b5ab9a6a4cd74f0	advance: native-root compiler, exact capacity separator, and score-free Y4 repairs	native_row_y4_repair	DELTA_VERIFIED_WITH_FIXES	DELTA_VERIFIED_WITH_FIXES	472/541/652	native-root compiler discrepancy, exact capacity separator, Y4-zero repair cone	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	source-owned native thinning / NRCT	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
471		4ac821701177edb67a77fe43e89cc2a7a53af68a	synthesis: three exact closure advances after the native-capacity separator	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		three exact closure reductions after native-capacity separator	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	finite native producer for the surviving routes	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
472	bb364396e09717237351d4aed9aadf6c570cb7fc	bb364396e09717237351d4aed9aadf6c570cb7fc	advance: exact native-to-radial Laplace dictionary and Y4 null gauge	native_q4_radial_gauge	DELTA_VERIFIED_WITH_FIXES	DELTA_VERIFIED_WITH_FIXES	474/541/652	native-to-radial Laplace dictionary and Y4 null gauge	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	finite producer and model allocation	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
473		71d6a859ea741fe035de709e8d10ed37301b778e	proposal: factor-67 SONTR with explicit compact-reserve closure	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	478	factor-67 local response algebra	direct-integral/native normalization and dependency reconstruction remain open	SONTR with exact normalized packet	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
474		da557977e6d496cdc395c823e0c8c2aa830ee3e1	advance: exact OPB root separator and positive scale-four Q4 transfer	q4	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		OPB separator and positive scale-four Q4 source transfer	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	aggregate transverse Gram and principal Q4 mean	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
475		6cba90ea10163abd62b051c83c8bfd8cc2f901da	three-route attack: rough ownership, exact P61 causal Hall, and endpoint hardening	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		rough ownership, exact P61 causal Hall, endpoint hardening	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	finite common-source row gain and one-use Y4 slack	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
476		9f16ce483954d4233b68ee09cb6bec47400aa3cc	proposal: factor67 SONTR, strict root reserve, and all safe-Xi Hankel positivity	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	480/482/484	componentwise finite algebra	triple closure combines unreviewed native and safe-Xi inputs	reconstructed native root plus independent Xi gate	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
477		5acd9007b4f4bb1792466f5013c39bf4eac33f9e	attack: corrected factor-67 native-slack closure plus two independent endgames	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	485	finite row, Hall, ledger, Farkas and Mellin fragments	Route A remains a frozen-input candidate; independent routes retain open source-to-model gates	bounded native residual or independent DGGC/PSI	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
478		9d19a7a6ff132fa5a39347392cbeadf09c14a261	review: PR #473 factor-67 SONTR compact reserve reconstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	478	review-level exact counterexamples, scope repairs, and frozen-head provenance	direct-integral normalization / complete native packet reconstruction remains open	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
479		518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	repair: factor67 all-column and activation-knot native reserves	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		all-column and activation-knot native reserves	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	complete frozen dependency reconstruction	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
480		d6d9c051abb20a47f3ce7adb45de33bfc2b933b9	review: PR #476 factor-67 triple-closure reconstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	480/482/484	review-level exact counterexamples, scope repairs, and frozen-head provenance	triple closure does not reconstruct the complete frozen source/capacity stack	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
481		005ae49723898d8661d407a0433a6d69cb6d6efc	repair: audited factor-67 all-column native-slack packet	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	482/484	several conditional transport lemmas	repaired packet still has benchmark/source-root bridge gaps	native slack intended-chain reconstruction	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
482		b8428601ad0f046442558b677e5b3ed3139e7527	review: PR #481 corrected native-slack reconstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	482/484	review-level exact counterexamples, scope repairs, and frozen-head provenance	native slack/root benchmark bridge and intended proof DAG remain incomplete	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
483		87bd7ad2127f98b6141b4c03355556f2b95f6404	advance: prime-block coherence for First-Hermite heat and Q4	heat_first_hermite_q4	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		common prime-block coherence reduction for First-Hermite and Q4	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	distinct-prime correlation / carrier-specific cancellation	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
