pr	exact_head_sha	title	family	final_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	heavy_policy	notes
541	e381f444191e214cc992208b16d30a8d5fd461ac	research reset: native-gap normalization firewall and arithmetic producer frontier	native_gap_normalization	DELTA_VERIFIED_WITH_FIXES		Exact radix-four adjoint normalization J−H=F+<Y4,Omega−Xi> and elementary X=3 counterexample.	Endpoint physical slack was misidentified with the complete native deficit.	Arithmetic F_Lambda control or an endpoint-free direct Mellin consumer.	Retain as the controlling native-gap firewall.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
543	90017face8bab139e25924ac0f31647e327c2e3d	proposal: global frontier-shadow hardening of the prime-sieved RH route	two_row_mellin_factor67_parity	CONTROLLED_BY_LATER_REFUTATION	544/552	Proposed global frontier-shadow transport layered over exact fixed-row consumers.	The global transport is not proved by replay and later exact rough-store/fixed-product reviews reject the inherited mechanism.	Source-faithful global cross-knot ownership/positivity.	Archive full wrapper under #552/#544; retain only direct Mellin consumer pieces.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
544	d4dcd1256dc9c8e110c860cff87b3f89aee842a5	hardening: affine–Volterra normalization, MPFR tails, and closure firewall	native_gap_normalization	DELTA_VERIFIED_WITH_FIXES		Controlling hardening: exact endpoint normalization, affine-cell compression, MPFR replacement requirements and fixed-row consumer firewall.	J_Lambda−H closure is not reached; old Target–Lorenz enclosure and global prime-sieve transport are not proof-grade.	F_Lambda or endpoint-free fixed-row positivity with a genuine source allocation.	Retain as controlling review/hardening packet.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
545	88bd3547c6277b5788e52eedd9ada1c594f4f866	hardening: two-row annular Mellin–Landau successor and producer firewall	two_row_mellin_factor67_parity	DELTA_OPEN_RH_EQUIVALENT	556	Exact annular rows-2/3 Mellin transforms, common-zero exclusion and conditional TAP4→RH implication.	All-integer annular positivity of rows two and three is unproved.	TAP4 two-row annular positivity.	Canonicalize the exact consumer; label producer RH-equivalent.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
548	7c7677e3dda318f8f8ccb813c4ca38f14448a538	packet mirror: global frontier-shadow hardening	two_row_mellin_factor67_parity	DUPLICATE_RECOVERY	543/552	Packaging mirror of the global frontier-shadow proposal; no independent mathematics.	Underlying global transport remains unproved.	Same open global transport as #543.	Archive as duplicate recovery/packet mirror.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
549	4ef69785b84b3801627956c3f0c9cf0ce56299aa	recovery: two-row global-shadow Mellin–Landau RH candidate	two_row_mellin_factor67_parity	HISTORICAL_FULL_PROPOSAL	552	Exact two-row Mellin numerators and proposed global-shadow owner transport.	Replay explicitly does not prove global transport; fixed-product/cross-knot ownership remains unsupported.	Global two-row shadow transport on the literal source.	Archive as historical full proposal; retain exact numerator algebra.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
551	c8702aef34a25c614f91dea1ecc6e787478e8170	T96300: radical two-front assault on annulus and reciprocal row	two_row_mellin_factor67_parity	DELTA_CONDITIONAL		Compact-annulus and reciprocal-row conditional consumers with exact finite algebra.	ACTQ_h/SPRP/VRP/AMCP producer theorems are not proved.	One of the declared annular/reciprocal source producers.	Retain as conditional two-front roadmap, not proof.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
555	341697b4694ba7f44f2ba2be73cb3fc982939412	proposal: finite source-complete factor-67 two-row Mellin–Landau candidate	two_row_mellin_factor67_parity	HISTORICAL_FULL_PROPOSAL	586	Finite first-owner factor-67 architecture, rows-2/3 consumer and exact common-zero exclusion.	Finite stopping-line and terminal AVLT/source-incidence equality are not established by replay.	Source-complete finite stopping theorem plus proof-grade terminal Hall realization.	Archive as historical full proposal; extract exact consumer and finite identities.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
556	a4feca0457d310c72054f274040f93b0503f658b	proposal: source-complete annular factor-67 RH candidate	two_row_mellin_factor67_parity	HISTORICAL_FULL_PROPOSAL	586	Source-complete annular factor-67 proposal with grouped terminal colors and exact consumer.	Grouped terminal positivity/source-tree specialization is unreviewed and later parity-source reviews leave the global scalar producer open.	Source-complete annular terminal inequality / CPSL67-equivalent scalar sign.	Archive full wrapper pending hostile review; retain exact annular consumer.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
558	b1b8d5548365216a5f9a642d3005835f5a1f3dd2	paper: finite factor-67 two-row Mellin-Landau RH proposal	paper_packaging	NO_NEW_MATHEMATICS	555/586	Standalone manuscript/replay packaging of #555; no independent theorem.	It explicitly does not prove the stopping theorem, terminal AVLT theorem or RH.	Same source-complete finite stopping gate as #555.	Archive as paper wrapper.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
559	88d97adef8a42c5baf2f52c2c259a4ef536bdfdd	recovery: single-scalar factor-67 Mellin–Landau RH candidate	two_row_mellin_factor67_parity	HISTORICAL_FULL_PROPOSAL	586/577	Positive 5:3 scalar dictionary and zero-safe Mellin numerator with a proposed projective factor-67 producer.	Projective source-incidence theorem L-97001.7 is unreviewed; later hostile review leaves CPSL67 open.	Uniform completed-parity scalar Lorenz feasibility / source-faithful recursion.	Archive as historical full proposal; retain scalar consumer.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
560	96b86c8f432fc7d4f38e038b7c1cb53f5d7e99e3	proposal: projective stopping-line two-row Mellin–Landau candidate	two_row_mellin_factor67_parity	HISTORICAL_FULL_PROPOSAL	586	Projective stopping-line formulation that observes only stabilized terminal incidences.	Exact source-incidence equality and projective restriction property are not reconstructed.	Projective native two-row stopping-line theorem.	Archive as historical full proposal; preserve consumer and firewalls.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
569	739ab0d9ab4975829dbed780670b1a4a56ca672e	paper: adaptive parity-Hall scalar/Julia reduction	factor67_parity_lorenz	DELTA_OPEN_RH_EQUIVALENT	586/589	Exact 5:3 scalar/Julia reduction, smooth-interior positivity and activation-boundary localization.	Global Activation-Boundary Parity Transport is not proved.	GABPT, an RH-bearing source-faithful boundary transport.	Canonicalize exact reduction; keep GABPT open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
572	7059d335312eb3416308d3896263c0cd8d97c3aa	correction: PICR separator and exact carry root-port repair	carry_crctp	DELTA_VERIFIED_WITH_FIXES		Exact PICR separator, unique root-port quotient, signed transverse realization and corrected carry root scalar.	PICR is false; one-channel positive completion of the root port remains open.	Positive one-channel root-port completion.	Retain as controlling correction/refutation.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
577	ae85922195c12a29944e624337bae2167091929b	paper: parity-completed scalar Lorenz reconstruction and exact RH frontier	factor67_parity_lorenz	DELTA_OPEN_RH_EQUIVALENT	586/601	Standalone reconstruction of finite scalar Lorenz primal/dual and exact CPSL67→scalar→Mellin–Landau chain.	Uniform CPSL67 is explicitly unsupported.	CPSL67 / native scalar zero-hinge positivity.	Canonicalize the exact reduction and review surface; keep producer RH-equivalent.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
583	ecaf57df108d5b3fccc4519dee7a0356c5eea143	ops: regenerate deterministic T97400 download artifact	publication_operations	ADMINISTRATIVE_TEST		Packaging-only deterministic artifact PR; no mathematical change.	not applicable	not applicable	Retain only as artifact/provenance record.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
585	41cd1eda7408cd5997fea5284601aee4c0dbbc56	review archive: PR #565 hostile-reconstruction work product	publication_operations	ADMINISTRATIVE_TEST	586	Byte-preserving archive of a hostile reconstruction work product; no new theorem.	not applicable	not applicable	Retain as review provenance only.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
586	70e74f38c1137bd987d1a706f7a9aa907f284e9a	review: hostile reconstruction of PRs #565/#566 and repaired factor-67 frontier (T97610)	factor67_parity_lorenz	DELTA_VERIFIED_WITH_FIXES		Controlling hostile reconstruction: repaired P61 bias, exact scalar Lorenz primal/dual, and source-interface counterexamples.	PR #565 source-faithful induction and PR #566 reserve domination are false as used.	Uniform CPSL67 plus exact atomwise one-use rough-history recursion.	Retain as controlling review and repaired frontier.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
588	689f7c0d46c990b45b3b81a1e31b5a00b6d71aaf	archive: reconstructed cutoff-239 annular candidate digest	factor67_parity_lorenz	DUPLICATE_RECOVERY	586/589/590	Archival cutoff-239 reconstruction with explicit evidence limitations.	Original proof-evidence bytes are unavailable and the advertised all-real sweep/tail are not replayed.	No canonical live gate beyond later exact descendants.	Archive as duplicate/recovery; use #586/#589/#590.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
589	ff5156cf6aa469bb7a2155ff4aa7c094bd75b9b6	advance: refute LAPBR67 and derive exact future-prime Lorenz Bellman frontier (T97700)	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	590/601	Exact LAPBR refutation, native one-prime safe edge and future-prime Lorenz hinge Bellman equations.	LAPBR67 is false; abstract barrier existence merely restates CPSL.	Explicit lower-dimensional future-prime hinge barrier / GPC67.	Canonicalize refutation and Bellman equations; keep explicit barrier open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
590	4f1283c67f0d4a4b504badd4c4113ba227521162	hardening: LAPBR67 no-go and balanced large-prime Type-II frontier	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	604	Complete small-prime cube, exact largest-prime Bellman identity, closed terminal Type I, and balanced signed Type-II reduction.	LAPBR67 is refuted; balanced Type-II estimate BLPTE67 remains unproved.	BLPTE67 signed source-faithful balanced Type-II estimate.	Canonicalize as the principal large-prime Type-II frontier.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
593	ef5ef2d57540c43afb3749861a1dc96ff7e55b13	paper: threshold-flexible causal decision and critical-saddle frontier	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	598/602/609	Exact native first-owner/residual ledger, subcritical-depth negativity, high-least-prime positivity and critical-saddle localization.	Every subcritical even depth with L log L=o(loglog X) is eventually negative; LAPBR67 false.	CSHT67 critical-saddle global history transport.	Retain no-go and source ledger; keep critical-saddle producer open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
598	e20128ef4a59607446451f93f3f8daeebe665517	hardening: source-faithful parity tree and adaptive-depth sign no-go (T-97680)	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	601	Literal source-faithfulness gate closed and adaptive/subcritical stopping-depth no-go proved.	Cutoff-239 local contraction, subcritical repair and LAPBR67 all fail.	NCBI67/CPSL67 nonlocal critical product-boundary inequality.	Canonicalize source tree and no-go; keep nonlocal gate open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
601	2095206c4759deac7edffbc0ecc9e30fcc453908	advance: ordered Lorenz profile and eventual zero-marginal collapse (T98000)	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	590/604	Ordered Lorenz ratio, canonical one-switch prefix, positive zero-scalar shell and eventual collapse CPSL67↔GTC67&GPC67.	Nonzero Lorenz thresholds add no independent eventual closure; both zero hinges remain open.	Native scalar GPC67 (or target GTC67), each RH-bearing.	Canonicalize collapse theorem; route future work to scalar Type-II/C4MBI.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
602	470b5ba529e76f79983e29ed9eebc80454088f0d	paper: Dickman power-sector localization and subpower critical core	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	609	Dickman simplex identity and positivity of every fixed power-scale least-prime state.	Counterexamples can only remain in the subpower least-prime critical core.	SPCC67 / root RBLPTE67 in the subpower harmonic saddle.	Canonicalize power-sector theorem; keep subpower core open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
604	24212c02fab728bb6c419ed8f5a2429fdce07397	publication recovery: T97701 C4MBI67 critical core	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	624/630	Exact four-band C4MBI identity, logarithmic prime ownership and root equivalence BLPTE67↔C4MBI67.	The C4MBI67 sign itself is unproved; unsigned source-blind Type-II data cannot decide it.	One-sided four-band critical Möbius boundary sign.	Canonicalize as the exact root-level C4MBI/Type-II interface.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
605	479445d8a08ca253ac58da8aff1677ffc6427ef7	advance: slow-cutoff cube and polylogarithmic Stieltjes boundary (T98100)	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	609	Source-complete slow-cutoff cube, exact rough-Mertens/Stieltjes boundary decomposition and method firewalls.	One-sided product-boundary/Stieltjes sign remains unproved.	Polylogarithmic signed Stieltjes boundary sign.	Retain exact reduction; keep boundary estimate open/RH-bearing.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
606	327c0967c67e7efa08fcb62937ca1730f8c24069	advance: UOSACF equivalence and Q4 finite-filter exhaustion (T95600)	q4_annular_uosacf	DELTA_OPEN_RH_EQUIVALENT		Exact classification that UOSACF is RH-equivalent and invariant under every subpower-invertible finite scale filter; finite-filter weakening exhausted.	No finite filter or finite-moment/source-blind PSD argument proves UOSACF.	Nonlocal source-sensitive compact-current/UOSACF estimate.	Canonicalize as the Q4 finite-filter endpoint and RH-equivalent criterion.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
609	83fe7fa6a9cd5f51cc2c6c93662e88a6e5b96d88	advance: signed Dickman–VK terminal transfer and critical-core reduction (T98500)	factor67_dickman_typeii_c4mbi	DELTA_OPEN_RH_EQUIVALENT	607	Signed Dickman convolution transfer and VK terminal sector reaching the 5/8 mesoscopic scale.	The critical low-threshold Type-II/Lorenz core remains open; replay does not prove the multidimensional comparison or VK input.	Critical subpower Type-II/Lorenz core.	Canonicalize terminal-sector theorem with external-input caveat; keep critical core open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
